dataset,context_variant,depth,metric,delta,lo,hi,p_value,n
musique,full,9,judge_correct,0.016666666666666666,-0.13333333333333333,0.16666666666666666,0.9123,30
musique,full,10,em,0.06666666666666667,-0.06708333333332964,0.21666666666666667,0.4262,30
musique,full,10,f1,0.07953077137287663,-0.06358563074352547,0.22706944444444435,0.2758,30
musique,full,10,judge_correct,-0.016666666666666666,-0.16666666666666666,0.15,0.9105,30
musique,medium,1,em,0.05,0.0,0.13333333333333333,0.2571,30
musique,medium,1,f1,0.06398380972849058,-0.011212379621954096,0.15652567148178845,0.1319,30
musique,medium,1,judge_correct,0.05,-0.05,0.15,0.4375,30
musique,medium,2,em,0.016666666666666666,-0.11666666666666667,0.15,0.8956,30
musique,medium,2,f1,0.041550671550671554,-0.08694246031746032,0.17100419719169704,0.5276,30
musique,medium,2,judge_correct,0.016666666666666666,-0.13333333333333333,0.15,0.9079,30
musique,medium,3,em,-0.03333333333333333,-0.16666666666666666,0.1,0.7031,30
musique,medium,3,f1,0.0005820105820105799,-0.12244775132275133,0.12224999999999998,0.992,30
musique,medium,3,judge_correct,0.0,-0.13333333333333333,0.13333333333333333,1.0,30
musique,medium,4,em,-0.016666666666666666,-0.11666666666666667,0.06666666666666667,0.8676,30
musique,medium,4,f1,-0.004603174603174609,-0.1229375,0.10956349206349206,0.9395,30
musique,medium,4,judge_correct,-0.016666666666666666,-0.15,0.11666666666666667,0.9042,30
musique,medium,5,em,-0.03333333333333333,-0.11666666666666667,0.03333333333333333,0.5249,30
musique,medium,5,f1,-0.01789677184414027,-0.09237753973609238,0.054947752661568434,0.632,30
musique,medium,5,judge_correct,0.03333333333333333,-0.08333333333333333,0.15,0.6575,30
musique,medium,6,em,-0.03333333333333333,-0.11666666666666667,0.05,0.5268,30
musique,medium,6,f1,-0.019325396825396822,-0.1039355158730158,0.06305853174603171,0.6463,30
musique,medium,6,judge_correct,-0.016666666666666666,-0.11666666666666667,0.08333333333333333,0.8663,30
musique,medium,7,em,-0.05,-0.16666666666666666,0.05,0.4346,30
musique,medium,7,f1,-0.021283068783068786,-0.13570138888888889,0.08677380952380953,0.705,30
musique,medium,7,judge_correct,0.016666666666666666,-0.11666666666666667,0.15,0.8961,30
musique,medium,8,em,-0.05,-0.16666666666666666,0.05,0.4346,30
musique,medium,8,f1,-0.030608465608465606,-0.13994378306878302,0.06631845238095224,0.5602,30
musique,medium,8,judge_correct,-0.05,-0.16666666666666666,0.06666666666666667,0.4838,30
musique,medium,9,em,-0.06666666666666667,-0.18333333333333332,0.016666666666666666,0.2445,30
musique,medium,9,f1,-0.02785714285714286,-0.13757936507936508,0.07698511904761902,0.6073,30
musique,medium,9,judge_correct,-0.03333333333333333,-0.16666666666666666,0.1,0.7076,30
musique,medium,10,em,-0.06666666666666667,-0.18333333333333332,0.016666666666666666,0.2445,30
musique,medium,10,f1,-0.024523809523809524,-0.13833432539682539,0.08365376984126978,0.6662,30
musique,medium,10,judge_correct,-0.03333333333333333,-0.16666666666666666,0.1,0.7006,30
musique,short,1,em,-0.06666666666666667,-0.2,0.06666666666666667,0.3909,30
musique,short,1,f1,-0.0457046657046657,-0.19133958633958623,0.08804840067340063,0.519,30
musique,short,1,judge_correct,0.016666666666666666,-0.13333333333333333,0.15,0.9066,30
musique,short,2,em,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,0.6165,30
