contrast,asks,dataset,depth,measure,arm_a,arm_b,n_pairs,shared_stages,mean_a,mean_b,delta,delta_lo,delta_hi,p_value,excludes_zero
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,retained_token_rate,inform_shrink,control,26,0,0.9757846153846154,0.9152153846153847,0.06056923076923077,0.027124903846153854,0.09684740384615381,0.0007,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,ngram_copy_rate,inform_shrink,control,26,0,0.7408653846153845,0.5835961538461538,0.15726923076923077,0.0712429807692308,0.24412740384615375,0.0002,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,target_fact_present,inform_shrink,control,26,0,0.8461538461538461,0.8076923076923077,0.038461538461538464,-0.07692307692307693,0.19230769230769232,0.7543,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,side_fact_retention,inform_shrink,control,26,0,0.6692307692307693,0.5153846153846153,0.15384615384615385,0.06923076923076923,0.2538461538461539,0.0024,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,parametric_present,inform_shrink,control,26,0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.11538461538461539,0.6227,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_count,inform_shrink,control,26,0,3.0384615384615383,2.769230769230769,0.2692307692307692,-0.3076923076923077,0.8461538461538461,0.3993,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_invented_count,inform_shrink,control,26,0,2.5,2.5,0.0,-0.5769230769230769,0.6153846153846154,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_corrupted_count,inform_shrink,control,26,0,0.5384615384615384,0.2692307692307692,0.2692307692307692,0.11538461538461539,0.46153846153846156,0.0031,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_rate,inform_shrink,control,26,0,0.20281345060697284,0.2231656445219198,-0.020352193914946946,-0.05755287018028146,0.020697366640001793,0.3074,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,tracked_variant_count,inform_shrink,control,26,0,8.615384615384615,6.230769230769231,2.3846153846153846,0.9615384615384616,3.962499999999986,0.0026,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_claims,inform_shrink,control,26,0,2.3076923076923075,1.3846153846153846,0.9230769230769231,0.34615384615384615,1.5384615384615385,0.0025,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,semantic_preserved,inform_shrink,control,26,0,1.0,0.9807692307692307,0.019230769230769232,0.0,0.057692307692307696,0.6289,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,truncated,inform_shrink,control,26,0,0.0,0.0,0.0,0.0,0.0,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,em,inform_shrink,control,26,0,0.7307692307692307,0.8076923076923077,-0.07692307692307693,-0.19230769230769232,0.0,0.2613,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,f1,inform_shrink,control,26,0,0.75,0.8333333333333333,-0.08333333333333333,-0.1987179487179487,0.0,0.1068,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,judge_correct,inform_shrink,control,26,0,0.7307692307692307,0.8076923076923077,-0.07692307692307693,-0.19230769230769232,0.0,0.2613,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,parametric_judge_correct,inform_shrink,control,26,0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.19230769230769232,0.2584,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,side_judge_correct,inform_shrink,control,26,0,0.6538461538461539,0.5384615384615384,0.11538461538461539,-0.038461538461538464,0.2692307692307692,0.2392,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,side_f1,inform_shrink,control,26,0,0.5307692307692308,0.4538461538461539,0.07692307692307693,0.0,0.19230769230769232,0.263,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,summary_words,inform_shrink,control,20,0,332.25,204.85,127.4,88.2,170.9,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,summary_characters,inform_shrink,control,20,0,2099.3,1298.2,801.1,567.1475,1057.7525,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,estimated_tokens,inform_shrink,control,20,0,566.8,350.4,216.4,153.2,285.75,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,length_ratio,inform_shrink,control,20,0,0.7845799999999998,0.48148,0.30310000000000004,0.20997912500000002,0.41075037500000006,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,internal_repetition,inform_shrink,control,20,0,0.0030911,0.0022634499999999998,0.0008276499999999999,-0.0020618187499999987,0.0036832137499999986,0.5711,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,novel_token_rate,inform_shrink,control,20,0,0.31409,0.35208500000000004,-0.037995,-0.094216,0.006390124999999986,0.1386,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,retained_token_rate,inform_shrink,control,20,0,0.5344099999999999,0.305145,0.22926499999999997,0.14223750000000007,0.326900125,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,ngram_copy_rate,inform_shrink,control,20,0,0.27249500000000004,0.162125,0.11037000000000001,0.03630300000000002,0.20322699999999996,0.0113,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,target_fact_present,inform_shrink,control,20,0,0.9,0.95,-0.05,-0.15,0.0,0.6242,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,side_fact_retention,inform_shrink,control,20,0,0.6799999999999999,0.35,0.33000000000000007,0.22000000000000003,0.4499999999999999,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,unsupported_count,inform_shrink,control,20,0,1.55,1.7,-0.15,-0.75,0.45,0.6786,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,unsupported_invented_count,inform_shrink,control,20,0,1.45,1.55,-0.1,-0.7,0.5,0.8068,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,unsupported_corrupted_count,inform_shrink,control,20,0,0.1,0.15,-0.05,-0.15,0.0,0.6226,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,unsupported_rate,inform_shrink,control,20,0,0.04761768053634045,0.08830613730613732,-0.040688456769796856,-0.07608256540425369,-0.00982812331489915,0.018,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,tracked_variant_count,inform_shrink,control,20,0,3.15,2.6,0.55,-0.15,1.3,0.1539,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,unsupported_claims,inform_shrink,control,20,0,2.15,1.4,0.75,-0.15,1.65,0.1179,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,semantic_preserved,inform_shrink,control,20,0,0.475,0.3,0.175,0.025,0.325,0.0249,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,truncated,inform_shrink,control,20,0,0.0,0.0,0.0,0.0,0.0,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,em,inform_shrink,control,20,0,0.9,0.95,-0.05,-0.15,0.0,0.6242,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,f1,inform_shrink,control,20,0,0.9,0.95,-0.05,-0.15,0.0,0.6242,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,judge_correct,inform_shrink,control,20,0,0.9,0.95,-0.05,-0.15,0.0,0.6242,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,side_judge_correct,inform_shrink,control,20,0,0.7,0.3,0.4,0.2,0.6,0.0005,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,1,side_f1,inform_shrink,control,20,0,0.585,0.275,0.31,0.13999999999999999,0.49499999999999994,0.001,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,summary_words,inform_shrink,control,20,0,370.35,214.75,155.6,118.55,196.35124999999996,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,summary_characters,inform_shrink,control,20,0,2345.5,1374.25,971.25,742.5400000000001,1219.3025,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,estimated_tokens,inform_shrink,control,20,0,633.3,371.0,262.3,200.45,329.3,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,length_ratio,inform_shrink,control,20,0,1.1403,1.0515949999999998,0.088705,0.01171175000000001,0.16846537500000003,0.0248,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,internal_repetition,inform_shrink,control,20,0,0.012789249999999999,0.0041902,0.00859905,0.0016422012500000008,0.0160170775,0.0182,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,fictional,2,novel_token_rate,inform_shrink,control,20,0,0.15314,0.14953,0.00361,-0.04128824999999998,0.04779524999999999,0.8688,False
