comparison,stratum,query_type,depth,metric,delta,lo,hi,p_value,n
switching_minus_fixed,generic,target,6,judge_correct,-0.2,-0.6,0.2,0.4211,10
conditioning_x_switching_interaction,factorial,target,6,judge_correct,0.1,-0.3,0.5,0.8265,10
conditioned_minus_generic,fixed,heldout,1,em,0.5,0.2,0.8,0.0015,10
conditioned_minus_generic,switching,heldout,1,em,0.5,0.2,0.8,0.0015,10
switching_minus_fixed,conditioned,heldout,1,em,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,heldout,1,em,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,heldout,1,em,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,heldout,1,f1,0.5,0.2,0.8,0.0015,10
conditioned_minus_generic,switching,heldout,1,f1,0.5,0.2,0.8,0.0015,10
switching_minus_fixed,conditioned,heldout,1,f1,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,heldout,1,f1,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,heldout,1,f1,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,heldout,1,judge_correct,0.7,0.4,1.0,0.0,10
conditioned_minus_generic,switching,heldout,1,judge_correct,0.7,0.4,1.0,0.0,10
switching_minus_fixed,conditioned,heldout,1,judge_correct,0.0,0.0,0.0,1.0,10
switching_minus_fixed,generic,heldout,1,judge_correct,0.0,0.0,0.0,1.0,10
conditioning_x_switching_interaction,factorial,heldout,1,judge_correct,0.0,0.0,0.0,1.0,10
conditioned_minus_generic,fixed,heldout,2,em,0.4,0.1,0.7,0.0174,10
conditioned_minus_generic,switching,heldout,2,em,0.2,0.0,0.5,0.2323,10
switching_minus_fixed,conditioned,heldout,2,em,-0.2,-0.6,0.2,0.4235,10
switching_minus_fixed,generic,heldout,2,em,0.0,-0.3,0.3,1.0,10
conditioning_x_switching_interaction,factorial,heldout,2,em,-0.2,-0.6,0.2,0.428,10
conditioned_minus_generic,fixed,heldout,2,f1,0.4,0.1,0.7,0.0174,10
conditioned_minus_generic,switching,heldout,2,f1,0.24,0.0,0.5,0.0758,10
switching_minus_fixed,conditioned,heldout,2,f1,-0.16,-0.5,0.2,0.4075,10
switching_minus_fixed,generic,heldout,2,f1,0.0,-0.3,0.3,1.0,10
