dataset,context_variant,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,em_f1_disagree,documents_mean,context_characters_mean,handoff_characters_mean,chain_tokens_mean,answer_tokens_mean,judge_correct,judge_correct_lo,judge_correct_hi,f1_delta_from_depth0,em_delta_from_depth0,judge_correct_delta_from_depth0
musique,medium,7,30,0.6333,0.4667,0.7833,0.6714,0.513,0.8167,0.0,5.0,2382.2,563.4,3461.6,236.7,0.8,0.6667,0.9167,-0.0734,-0.0667,0.0
musique,medium,8,30,0.6167,0.45,0.7667,0.6724,0.5148,0.8157,0.0,5.0,2382.2,558.3,3869.2,236.3,0.85,0.7333,0.95,-0.0724,-0.0833,0.05
musique,medium,9,30,0.6,0.4333,0.7667,0.6558,0.4997,0.7987,0.0333,5.0,2382.2,552.5,4274.4,235.3,0.8,0.6667,0.9167,-0.089,-0.1,0.0
musique,medium,10,30,0.6167,0.45,0.7667,0.6735,0.5232,0.8119,0.0333,5.0,2382.2,548.3,4676.6,233.3,0.8167,0.7,0.9167,-0.0713,-0.0833,0.0167
musique,short,0,30,0.6667,0.5,0.8333,0.7242,0.5667,0.8667,0.0667,2.7,1345.7,1345.7,0.0,446.2,0.8,0.6333,0.9333,0.0,0.0,0.0
musique,short,1,30,0.6167,0.45,0.7833,0.676,0.519,0.8194,0.0333,2.7,1345.7,565.6,601.4,237.3,0.7667,0.6167,0.9,-0.0482,-0.05,-0.0333
musique,short,2,30,0.6167,0.4333,0.7833,0.6627,0.4964,0.8134,0.0,2.7,1345.7,493.6,995.9,221.3,0.7667,0.6167,0.9,-0.0616,-0.05,-0.0333
musique,short,3,30,0.6167,0.45,0.7667,0.6643,0.5047,0.8114,0.0333,2.7,1345.7,473.2,1368.4,216.8,0.7833,0.65,0.9,-0.06,-0.05,-0.0167
musique,short,4,30,0.6167,0.45,0.7833,0.6583,0.496,0.8077,0.0333,2.7,1345.7,465.6,1734.5,214.1,0.7667,0.6167,0.9,-0.0659,-0.05,-0.0333
musique,short,5,30,0.6167,0.45,0.7833,0.6502,0.4839,0.8003,0.0333,2.7,1345.7,460.6,2097.5,212.8,0.7333,0.5833,0.8667,-0.074,-0.05,-0.0667
musique,short,6,30,0.5833,0.4167,0.75,0.6288,0.4672,0.7813,0.0667,2.7,1345.7,463.2,2459.6,213.7,0.7333,0.5833,0.8667,-0.0954,-0.0833,-0.0667
musique,short,7,30,0.6167,0.45,0.7833,0.657,0.4968,0.807,0.0333,2.7,1345.7,457.8,2821.2,213.0,0.75,0.6,0.8833,-0.0672,-0.05,-0.05
musique,short,8,30,0.6167,0.45,0.7833,0.6635,0.505,0.8091,0.0333,2.7,1345.7,454.7,3181.3,211.9,0.75,0.6,0.8833,-0.0607,-0.05,-0.05
musique,short,9,30,0.5833,0.4167,0.75,0.6443,0.4895,0.7902,0.0667,2.7,1345.7,455.8,3540.7,211.7,0.75,0.6,0.8833,-0.0799,-0.0833,-0.05
musique,short,10,30,0.6333,0.4667,0.8,0.6785,0.5172,0.8258,0.0667,2.7,1345.7,452.5,3899.2,211.0,0.7833,0.65,0.9,-0.0457,-0.0333,-0.0167
