dataset,context_variant,depth,metric,delta,lo,hi,p_value,n
musique,medium,9,f1,-0.0890162570404506,-0.2004989279313876,0.005686827956989236,0.0889,30
musique,medium,9,judge_correct,0.0,-0.1,0.1004166666666606,1.0,30
musique,medium,10,em,-0.08333333333333333,-0.18333333333333332,0.0,0.1117,30
musique,medium,10,f1,-0.07130621325282059,-0.1697725978600561,0.013226177233963656,0.1294,30
musique,medium,10,judge_correct,0.016666666666666666,-0.08333333333333333,0.11666666666666667,0.8633,30
musique,short,1,em,-0.05,-0.16666666666666666,0.05,0.4521,30
musique,short,1,f1,-0.04820882820882821,-0.14256299256299254,0.029894179894179893,0.2838,30
musique,short,1,judge_correct,-0.03333333333333333,-0.1,0.03333333333333333,0.4443,30
musique,short,2,em,-0.05,-0.2,0.08333333333333333,0.5535,30
musique,short,2,f1,-0.06156557494792789,-0.17584652194211,0.03190476190476191,0.2512,30
musique,short,2,judge_correct,-0.03333333333333333,-0.13333333333333333,0.05,0.5953,30
musique,short,3,em,-0.05,-0.18333333333333332,0.08333333333333333,0.5372,30
musique,short,3,f1,-0.05995485995485995,-0.1732887482887482,0.03492308617308614,0.2567,30
musique,short,3,judge_correct,-0.016666666666666666,-0.11666666666666667,0.08333333333333333,0.8688,30
musique,short,4,em,-0.05,-0.18333333333333332,0.06666666666666667,0.5036,30
musique,short,4,f1,-0.06592250342250341,-0.18120771589521584,0.029778554778554782,0.2184,30
musique,short,4,judge_correct,-0.03333333333333333,-0.13333333333333333,0.05,0.5879,30
musique,short,5,em,-0.05,-0.18333333333333332,0.06666666666666667,0.5036,30
musique,short,5,f1,-0.074002479002479,-0.1895617021867021,0.02156084656084656,0.1657,30
musique,short,5,judge_correct,-0.06666666666666667,-0.16666666666666666,0.016666666666666666,0.1933,30
musique,short,6,em,-0.08333333333333333,-0.23333333333333334,0.05,0.2859,30
musique,short,6,f1,-0.09541662041662041,-0.2224392274392274,0.013579984829984808,0.1103,30
musique,short,6,judge_correct,-0.06666666666666667,-0.18333333333333332,0.03333333333333333,0.2974,30
musique,short,7,em,-0.05,-0.18333333333333332,0.06666666666666667,0.5036,30
musique,short,7,f1,-0.06722999222999222,-0.18055555555555552,0.027228535353535158,0.2004,30
musique,short,7,judge_correct,-0.05,-0.15,0.05,0.3939,30
musique,short,8,em,-0.05,-0.18333333333333332,0.06666666666666667,0.5036,30
musique,short,8,f1,-0.06066914566914567,-0.18011623561623558,0.03999222999223,0.2772,30
musique,short,8,judge_correct,-0.05,-0.15,0.03333333333333333,0.3997,30
musique,short,9,em,-0.08333333333333333,-0.23333333333333334,0.05,0.2907,30
musique,short,9,f1,-0.07990074740074739,-0.20319504338254335,0.026528649591149586,0.1662,30
musique,short,9,judge_correct,-0.05,-0.15,0.03333333333333333,0.3997,30
musique,short,10,em,-0.03333333333333333,-0.16666666666666666,0.08333333333333333,0.6814,30
musique,short,10,f1,-0.045669145669145664,-0.1588966588966589,0.04256081881081879,0.3743,30
musique,short,10,judge_correct,-0.016666666666666666,-0.11666666666666667,0.08333333333333333,0.868,30
