scope,population,comparison,treatment,control,measure,delta,lo,hi,p_value,n_dossiers,n_paired_observations,equivalence_margin,equivalent_within_margin,family
qa_eligible,eligible_omissions,llama:restore_vs_sealed,llama_sl_restore,llama_sl,f1,0.895833,0.835833,0.95,0.0001,20,51,0.05,0,llama
qa_eligible,eligible_omissions,llama:restore_vs_sealed,llama_sl_restore,llama_sl,judge_correct,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
qa_eligible,eligible_omissions,llama:restore_vs_sealed,llama_sl_restore,llama_sl,b_present_stage2,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
itt,eligible_omissions,llama:reopen_vs_sealed,llama_sl_reopen,llama_sl,f1,0.895833,0.836667,0.95,0.0001,20,51,0.05,0,llama
itt,eligible_omissions,llama:reopen_vs_sealed,llama_sl_reopen,llama_sl,judge_correct,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
itt,eligible_omissions,llama:reopen_vs_sealed,llama_sl_reopen,llama_sl,b_present_stage2,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
compliant,eligible_omissions,llama:reopen_vs_sealed,llama_sl_reopen,llama_sl,f1,0.895833,0.835,0.950833,0.0001,20,51,0.05,0,llama
compliant,eligible_omissions,llama:reopen_vs_sealed,llama_sl_reopen,llama_sl,judge_correct,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
compliant,eligible_omissions,llama:reopen_vs_sealed,llama_sl_reopen,llama_sl,b_present_stage2,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
qa_eligible,eligible_omissions,llama:reopen_vs_sealed,llama_sl_reopen,llama_sl,f1,0.895833,0.835833,0.950833,0.0001,20,51,0.05,0,llama
qa_eligible,eligible_omissions,llama:reopen_vs_sealed,llama_sl_reopen,llama_sl,judge_correct,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
qa_eligible,eligible_omissions,llama:reopen_vs_sealed,llama_sl_reopen,llama_sl,b_present_stage2,1.0,1.0,1.0,0.0001,20,51,0.05,0,llama
itt,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,f1,-0.030417,-0.11375,0.063333,0.565543,20,80,0.05,0,qwen
itt,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,judge_correct,-0.0375,-0.125,0.0625,0.613639,20,80,0.05,0,qwen
itt,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,b_present_stage2,-0.0375,-0.125,0.0625,0.607839,20,80,0.05,0,qwen
compliant,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,f1,-0.049167,-0.2,0.114167,0.567143,20,63,0.05,0,qwen
compliant,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,judge_correct,-0.0625,-0.225,0.104167,0.49745,20,63,0.05,0,qwen
compliant,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,b_present_stage2,-0.0625,-0.225,0.104167,0.49755,20,63,0.05,0,qwen
qa_eligible,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,f1,-0.030417,-0.11375,0.0625,0.560144,20,80,0.05,0,qwen
qa_eligible,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,judge_correct,-0.0375,-0.125,0.0625,0.60344,20,80,0.05,0,qwen
qa_eligible,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,b_present_stage2,-0.0375,-0.125,0.0625,0.618438,20,80,0.05,0,qwen
itt,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,f1,0.0125,0.0,0.0375,1.0,20,80,0.05,1,qwen
itt,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,judge_correct,0.0125,0.0,0.0375,1.0,20,80,0.05,1,qwen
itt,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,b_present_stage2,0.0125,0.0,0.0375,1.0,20,80,0.05,1,qwen
compliant,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,f1,0.0125,0.0,0.0375,1.0,20,62,0.05,1,qwen
compliant,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,judge_correct,0.0125,0.0,0.0375,1.0,20,62,0.05,1,qwen
compliant,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,b_present_stage2,0.0125,0.0,0.0375,1.0,20,62,0.05,1,qwen
qa_eligible,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,f1,0.0125,0.0,0.0375,1.0,20,80,0.05,1,qwen
qa_eligible,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,judge_correct,0.0125,0.0,0.0375,1.0,20,80,0.05,1,qwen
qa_eligible,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,b_present_stage2,0.0125,0.0,0.0375,1.0,20,80,0.05,1,qwen
itt,eligible_omissions,qwen:larger_relay_on_clean_omissions,qwen_sl,qwen_ss,f1,0.0,0.0,0.0,1.0,20,47,0.05,1,qwen
itt,eligible_omissions,qwen:larger_relay_on_clean_omissions,qwen_sl,qwen_ss,judge_correct,0.0,0.0,0.0,1.0,20,47,0.05,1,qwen
itt,eligible_omissions,qwen:larger_relay_on_clean_omissions,qwen_sl,qwen_ss,b_present_stage2,0.0,0.0,0.0,1.0,20,47,0.05,1,qwen
compliant,eligible_omissions,qwen:larger_relay_on_clean_omissions,qwen_sl,qwen_ss,f1,0.0,0.0,0.0,1.0,18,30,0.05,1,qwen
compliant,eligible_omissions,qwen:larger_relay_on_clean_omissions,qwen_sl,qwen_ss,judge_correct,0.0,0.0,0.0,1.0,18,30,0.05,1,qwen
compliant,eligible_omissions,qwen:larger_relay_on_clean_omissions,qwen_sl,qwen_ss,b_present_stage2,0.0,0.0,0.0,1.0,18,30,0.05,1,qwen
qa_eligible,eligible_omissions,qwen:larger_relay_on_clean_omissions,qwen_sl,qwen_ss,f1,0.0,0.0,0.0,1.0,20,47,0.05,1,qwen
qa_eligible,eligible_omissions,qwen:larger_relay_on_clean_omissions,qwen_sl,qwen_ss,judge_correct,0.0,0.0,0.0,1.0,20,47,0.05,1,qwen
qa_eligible,eligible_omissions,qwen:larger_relay_on_clean_omissions,qwen_sl,qwen_ss,b_present_stage2,0.0,0.0,0.0,1.0,20,47,0.05,1,qwen
itt,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,f1,-0.00625,-0.0375,0.01875,1.0,20,80,0.05,1,qwen
itt,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,judge_correct,-0.0125,-0.0375,0.0,1.0,20,80,0.05,1,qwen
itt,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,b_present_stage2,-0.0125,-0.0375,0.0,1.0,20,80,0.05,1,qwen
compliant,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,f1,-0.0125,-0.0375,0.0,1.0,20,62,0.05,1,qwen
compliant,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,judge_correct,-0.0125,-0.0375,0.0,1.0,20,62,0.05,1,qwen
compliant,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,b_present_stage2,-0.0125,-0.0375,0.0,1.0,20,62,0.05,1,qwen
qa_eligible,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,f1,-0.00625,-0.0375,0.01875,1.0,20,80,0.05,1,qwen
qa_eligible,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,judge_correct,-0.0125,-0.0375,0.0,1.0,20,80,0.05,1,qwen
qa_eligible,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,b_present_stage2,-0.0125,-0.0375,0.0,1.0,20,80,0.05,1,qwen
itt,all,qwen:large_first_order,qwen_ls,qwen_sl,f1,-0.036667,-0.1225,0.055833,0.505849,20,80,0.05,0,qwen
itt,all,qwen:large_first_order,qwen_ls,qwen_sl,judge_correct,-0.05,-0.1375,0.05,0.464954,20,80,0.05,0,qwen
itt,all,qwen:large_first_order,qwen_ls,qwen_sl,b_present_stage2,-0.05,-0.1375,0.05,0.455654,20,80,0.05,0,qwen
compliant,all,qwen:large_first_order,qwen_ls,qwen_sl,f1,-0.013056,-0.154167,0.147514,0.884812,20,61,0.05,0,qwen
compliant,all,qwen:large_first_order,qwen_ls,qwen_sl,judge_correct,-0.025,-0.170833,0.141667,0.79642,20,61,0.05,0,qwen
compliant,all,qwen:large_first_order,qwen_ls,qwen_sl,b_present_stage2,-0.025,-0.170833,0.141667,0.79542,20,61,0.05,0,qwen
qa_eligible,all,qwen:large_first_order,qwen_ls,qwen_sl,f1,-0.036667,-0.12,0.055833,0.512449,20,80,0.05,0,qwen
qa_eligible,all,qwen:large_first_order,qwen_ls,qwen_sl,judge_correct,-0.05,-0.1375,0.05,0.463954,20,80,0.05,0,qwen
qa_eligible,all,qwen:large_first_order,qwen_ls,qwen_sl,b_present_stage2,-0.05,-0.1375,0.05,0.471953,20,80,0.05,0,qwen
itt,eligible_omissions,qwen:restore_vs_sham,qwen_sl_restore,qwen_sl_sham,f1,0.882083,0.770833,0.9575,0.0001,20,47,0.05,0,qwen
itt,eligible_omissions,qwen:restore_vs_sham,qwen_sl_restore,qwen_sl_sham,judge_correct,0.95,0.85,1.0,0.0001,20,47,0.05,0,qwen
itt,eligible_omissions,qwen:restore_vs_sham,qwen_sl_restore,qwen_sl_sham,b_present_stage2,1.0,1.0,1.0,0.0001,20,47,0.05,0,qwen
compliant,eligible_omissions,qwen:restore_vs_sham,qwen_sl_restore,qwen_sl_sham,f1,0.859722,0.739803,0.946759,0.0001,18,35,0.05,0,qwen
compliant,eligible_omissions,qwen:restore_vs_sham,qwen_sl_restore,qwen_sl_sham,judge_correct,0.944444,0.833333,1.0,0.0002,18,35,0.05,0,qwen
compliant,eligible_omissions,qwen:restore_vs_sham,qwen_sl_restore,qwen_sl_sham,b_present_stage2,1.0,1.0,1.0,0.0001,18,35,0.05,0,qwen
