comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
conditioned_minus_generic,conditioned_minus_generic,target,10,em,-0.15,-0.35,0.05,0.2353,20
conditioned_minus_generic,conditioned_minus_generic,target,10,f1,-0.07561688311688312,-0.30897772366522364,0.16006529581529536,0.5262,20
conditioned_minus_generic,conditioned_minus_generic,target,10,judge_correct,-0.1,-0.35,0.15,0.5325,20
depth_minus_direct,conditioned,heldout,1,em,-0.75,-0.95,-0.55,0.0,20
depth_minus_direct,conditioned,heldout,1,f1,-0.77,-0.95,-0.5900000000000001,0.0,20
depth_minus_direct,conditioned,heldout,1,judge_correct,-0.8,-0.95,-0.6,0.0,20
depth_minus_direct,conditioned,heldout,2,em,-0.8,-0.95,-0.6,0.0,20
depth_minus_direct,conditioned,heldout,2,f1,-0.82,-0.97,-0.64,0.0,20
depth_minus_direct,conditioned,heldout,2,judge_correct,-0.85,-1.0,-0.7,0.0,20
depth_minus_direct,conditioned,heldout,3,em,-0.85,-1.0,-0.7,0.0,20
depth_minus_direct,conditioned,heldout,3,f1,-0.8699999999999999,-1.0,-0.72,0.0,20
depth_minus_direct,conditioned,heldout,3,judge_correct,-0.9,-1.0,-0.75,0.0,20
depth_minus_direct,conditioned,heldout,4,em,-0.8,-0.95,-0.6,0.0,20
depth_minus_direct,conditioned,heldout,4,f1,-0.8074999999999999,-0.95,-0.6375,0.0,20
depth_minus_direct,conditioned,heldout,4,judge_correct,-0.85,-1.0,-0.7,0.0,20
depth_minus_direct,conditioned,heldout,5,em,-0.7,-0.9,-0.5,0.0,20
depth_minus_direct,conditioned,heldout,5,f1,-0.72,-0.9,-0.52,0.0,20
depth_minus_direct,conditioned,heldout,5,judge_correct,-0.75,-0.95,-0.55,0.0,20
depth_minus_direct,conditioned,heldout,6,em,-0.75,-0.95,-0.55,0.0,20
depth_minus_direct,conditioned,heldout,6,f1,-0.77,-0.95,-0.5700000000000001,0.0,20
depth_minus_direct,conditioned,heldout,6,judge_correct,-0.8,-0.95,-0.6,0.0,20
depth_minus_direct,conditioned,heldout,7,em,-0.8,-0.95,-0.6,0.0,20
depth_minus_direct,conditioned,heldout,7,f1,-0.82,-0.97,-0.64,0.0,20
depth_minus_direct,conditioned,heldout,7,judge_correct,-0.85,-1.0,-0.7,0.0,20
depth_minus_direct,conditioned,heldout,8,em,-0.8,-0.95,-0.6,0.0,20
depth_minus_direct,conditioned,heldout,8,f1,-0.82,-0.95,-0.64,0.0,20
depth_minus_direct,conditioned,heldout,8,judge_correct,-0.8,-0.95,-0.6,0.0,20
depth_minus_direct,conditioned,heldout,9,em,-0.8,-0.95,-0.6,0.0,20
depth_minus_direct,conditioned,heldout,9,f1,-0.8147368421052633,-0.95,-0.6399868421052634,0.0,20
depth_minus_direct,conditioned,heldout,9,judge_correct,-0.85,-1.0,-0.7,0.0,20
depth_minus_direct,conditioned,heldout,10,em,-0.85,-1.0,-0.7,0.0,20
depth_minus_direct,conditioned,heldout,10,f1,-0.8699999999999999,-1.0,-0.72,0.0,20
depth_minus_direct,conditioned,heldout,10,judge_correct,-0.85,-1.0,-0.7,0.0,20
depth_minus_direct,generic,heldout,1,em,-0.4,-0.6,-0.2,0.0003,20
depth_minus_direct,generic,heldout,1,f1,-0.37757575757575756,-0.5775757575757576,-0.18666666666666668,0.0001,20
depth_minus_direct,generic,heldout,1,judge_correct,-0.4,-0.6,-0.2,0.0005,20
depth_minus_direct,generic,heldout,2,em,-0.4,-0.6,-0.2,0.0003,20
depth_minus_direct,generic,heldout,2,f1,-0.38666666666666666,-0.5900000000000001,-0.19,0.0001,20
depth_minus_direct,generic,heldout,2,judge_correct,-0.4,-0.6,-0.2,0.0005,20
depth_minus_direct,generic,heldout,3,em,-0.4,-0.6,-0.2,0.0003,20
depth_minus_direct,generic,heldout,3,f1,-0.38666666666666666,-0.5900000000000001,-0.19,0.0001,20
depth_minus_direct,generic,heldout,3,judge_correct,-0.4,-0.6,-0.2,0.0005,20
depth_minus_direct,generic,heldout,4,em,-0.5,-0.7,-0.3,0.0,20
depth_minus_direct,generic,heldout,4,f1,-0.4375757575757576,-0.6427424242424242,-0.24424242424242423,0.0,20
depth_minus_direct,generic,heldout,4,judge_correct,-0.45,-0.65,-0.25,0.0,20
