mode,slots,endpoint,metric,n_dossiers,n_rotations,mean,lo,hi
conditioned,4,immediate,judge_correct,20,120,0.9916666666666668,0.975,1.0
generic,4,reusable,em,20,120,0.55,0.4999999999999999,0.5999999999999999
conditioned,4,reusable,em,20,120,0.525,0.4866666666666667,0.5633333333333332
generic,4,reusable,f1,20,120,0.6238888888888888,0.5858333333333332,0.6608333333333334
conditioned,4,reusable,f1,20,120,0.5763783068783067,0.5469225529100528,0.603648148148148
generic,4,reusable,judge_correct,20,120,0.6749999999999998,0.6666666666666665,0.6916666666666667
conditioned,4,reusable,judge_correct,20,120,0.6133333333333333,0.6033333333333333,0.6249999999999999
generic,4,support,announced_card_selected,20,120,0.6666666666666665,0.6666666666666665,0.6666666666666665
conditioned,4,support,announced_card_selected,20,120,0.9916666666666668,0.975,1.0
generic,4,support,hidden_card_selection_rate,20,120,0.6666666666666665,0.6666666666666665,0.6666666666666665
conditioned,4,support,hidden_card_selection_rate,20,120,0.6016666666666666,0.5999999999999999,0.605
generic,4,channel,selection_valid,20,120,1.0,1.0,1.0
conditioned,4,channel,selection_valid,20,120,1.0,1.0,1.0
generic,4,channel,handoff_characters,20,120,407.25,380.55,433.55
conditioned,4,channel,handoff_characters,20,120,426.65,406.14145833333333,447.7835416666666
generic,4,channel,handoff_words,20,120,74.1,70.2,78.15
conditioned,4,channel,handoff_words,20,120,77.03333333333333,74.14145833333333,79.98333333333332
generic,4,channel,handoff_estimated_tokens,20,120,109.55,102.35,116.60124999999998
conditioned,4,channel,handoff_estimated_tokens,20,120,114.84166666666667,109.3,120.55020833333332
generic,6,immediate,em,20,120,0.85,0.7916666666666666,0.9083333333333334
conditioned,6,immediate,em,20,120,0.8333333333333334,0.775,0.8916666666666666
generic,6,immediate,f1,20,120,0.9152777777777779,0.8705555555555555,0.9541666666666666
conditioned,6,immediate,f1,20,120,0.8986111111111112,0.8563888888888889,0.9375
generic,6,immediate,judge_correct,20,120,0.9916666666666668,0.975,1.0
conditioned,6,immediate,judge_correct,20,120,0.975,0.9499999999999998,1.0
generic,6,reusable,em,20,120,0.85,0.7916666666666666,0.9083333333333334
conditioned,6,reusable,em,20,120,0.8333333333333334,0.775,0.8916666666666666
generic,6,reusable,f1,20,120,0.9152777777777779,0.8705555555555555,0.9541666666666666
conditioned,6,reusable,f1,20,120,0.8986111111111112,0.8563888888888889,0.9375
generic,6,reusable,judge_correct,20,120,0.9916666666666668,0.975,1.0
conditioned,6,reusable,judge_correct,20,120,0.975,0.9499999999999998,1.0
generic,6,support,announced_card_selected,20,120,1.0,1.0,1.0
conditioned,6,support,announced_card_selected,20,120,0.9833333333333334,0.9583333333333334,1.0
generic,6,support,hidden_card_selection_rate,20,120,1.0,1.0,1.0
conditioned,6,support,hidden_card_selection_rate,20,120,0.9833333333333334,0.9583333333333334,1.0
generic,6,channel,selection_valid,20,120,1.0,1.0,1.0
conditioned,6,channel,selection_valid,20,120,0.9833333333333334,0.9583333333333334,1.0
generic,6,channel,handoff_characters,20,120,605.95,579.05,635.05
conditioned,6,channel,handoff_characters,20,120,595.5083333333333,567.2577083333333,626.35125
generic,6,channel,handoff_words,20,120,109.8,106.05,113.75
conditioned,6,channel,handoff_words,20,120,107.925,103.74145833333331,112.26666666666668
generic,6,channel,handoff_estimated_tokens,20,120,163.25,156.0,171.05124999999998
conditioned,6,channel,handoff_estimated_tokens,20,120,160.44166666666666,152.83312500000002,168.74166666666667
