comparison,kind,treatment,control,from_depth,query_type,answerer_role,depth,metric,delta,lo,hi,p_value,n
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,3,f1,0.06666666666666668,0.0,0.18333333333333335,0.2382,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,4,f1,0.075,0.0,0.2,0.2483,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,5,f1,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,6,f1,0.1285714285714286,0.0,0.2785714285714286,0.0813,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,1,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,2,judge_correct,-0.1,-0.25,0.0,0.2501,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,3,judge_correct,0.1,0.0,0.25,0.2437,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,4,judge_correct,0.05,0.0,0.15,0.6207,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,5,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_small,depth,xfam_small_fwd,homog_small_matched,,heldout,secondary,6,judge_correct,0.05,-0.1,0.2,0.7667,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,1,em,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,2,em,0.25,0.1,0.45,0.0153,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,3,em,0.15,0.0,0.3,0.1122,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,4,em,0.35,0.15,0.55,0.0011,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,5,em,0.25,0.05,0.45,0.0181,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,6,em,0.15,0.0,0.3,0.1096,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,1,f1,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,2,f1,0.1275,0.025000000000000012,0.2575,0.0318,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,3,f1,0.11000000000000001,0.009999999999999998,0.24,0.0606,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,4,f1,0.1538095238095238,0.04761904761904764,0.2876309523809522,0.0114,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,5,f1,0.1538095238095238,0.030952380952380964,0.30714285714285716,0.029,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,6,f1,0.08416666666666668,-0.0125,0.2141874999999997,0.1487,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,1,judge_correct,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,2,judge_correct,0.05,0.0,0.15,0.6256,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,3,judge_correct,0.05,0.0,0.15,0.6256,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,4,judge_correct,0.05,0.0,0.15,0.6256,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,5,judge_correct,0.05,0.0,0.15,0.6256,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,primary,6,judge_correct,0.05,0.0,0.15,0.6256,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,1,em,0.0,0.0,0.0,1.0,20
xfam_rev_minus_homog_small,depth,xfam_small_rev,homog_small_matched,,target,secondary,2,em,0.2,0.0,0.4,0.1206,20
