arm,block,derived,size_pattern,family_mode,query_type,answerer_role,depth,n,n_family_transitions,n_tier_transitions,mean_parameters_b,chain_short_codes,material_characters_mean,empty_handoff_chain_fraction,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
homog_large_matched,matched_large,True,all_large,start,heldout,primary,4,20,0,0,24.0,rotates (4 start models),429.9,0.0,0.3,0.1,0.5,0.3786,0.1821,0.5786,0.45,0.25,0.65
homog_large_matched,matched_large,True,all_large,start,heldout,primary,5,20,0,0,24.0,rotates (4 start models),434.1,0.0,0.2,0.05,0.4,0.2869,0.1202,0.4702,0.3,0.1,0.5
homog_large_matched,matched_large,True,all_large,start,heldout,primary,6,20,0,0,24.0,rotates (4 start models),423.4,0.0,0.2,0.05,0.4,0.3169,0.1469,0.5002,0.4,0.2,0.6
homog_large_matched,matched_large,True,all_large,start,heldout,secondary,0,20,0,0,,direct,7954.1,0.0,0.85,0.7,1.0,0.875,0.725,1.0,0.95,0.85,1.0
homog_large_matched,matched_large,True,all_large,start,heldout,secondary,1,20,0,0,24.0,rotates (4 start models),509.5,0.0,0.35,0.15,0.55,0.4333,0.2333,0.6333,0.55,0.35,0.75
homog_large_matched,matched_large,True,all_large,start,heldout,secondary,2,20,0,0,24.0,rotates (4 start models),475.6,0.0,0.45,0.25,0.65,0.45,0.25,0.65,0.55,0.35,0.75
homog_large_matched,matched_large,True,all_large,start,heldout,secondary,3,20,0,0,24.0,rotates (4 start models),449.1,0.0,0.4,0.2,0.6,0.4619,0.25,0.6667,0.45,0.25,0.65
homog_large_matched,matched_large,True,all_large,start,heldout,secondary,4,20,0,0,24.0,rotates (4 start models),429.9,0.0,0.45,0.25,0.65,0.5119,0.3,0.7167,0.45,0.25,0.65
homog_large_matched,matched_large,True,all_large,start,heldout,secondary,5,20,0,0,24.0,rotates (4 start models),434.1,0.0,0.4,0.2,0.6,0.4869,0.2869,0.6893,0.45,0.25,0.65
homog_large_matched,matched_large,True,all_large,start,heldout,secondary,6,20,0,0,24.0,rotates (4 start models),423.4,0.0,0.4,0.2,0.6,0.4619,0.2571,0.6667,0.4,0.2,0.6
