scope,population,comparison,treatment,control,measure,delta,lo,hi,p_value,n_dossiers,n_paired_observations,equivalence_margin,equivalent_within_margin,family
compliant,all,llama:large_first_order,llama_ls,llama_sl,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
qa_eligible,all,llama:large_first_order,llama_ls,llama_sl,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
qa_eligible,all,llama:large_first_order,llama_ls,llama_sl,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,llama
itt,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,f1,-0.375,-0.375,-0.375,1.0,1,4,0.05,0,qwen
itt,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,b_present_stage2,-0.75,-0.75,-0.75,1.0,1,4,0.05,0,qwen
compliant,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,f1,-0.375,-0.375,-0.375,1.0,1,4,0.05,0,qwen
compliant,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,b_present_stage2,-0.75,-0.75,-0.75,1.0,1,4,0.05,0,qwen
qa_eligible,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,f1,-0.375,-0.375,-0.375,1.0,1,4,0.05,0,qwen
qa_eligible,all,qwen:early_selector_at_large_relay,qwen_ll,qwen_sl,b_present_stage2,-0.75,-0.75,-0.75,1.0,1,4,0.05,0,qwen
itt,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
itt,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
compliant,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
compliant,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
qa_eligible,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
qa_eligible,all,qwen:larger_relay_after_small_selector,qwen_sl,qwen_ss,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
itt,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
itt,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
compliant,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
compliant,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
qa_eligible,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,f1,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
qa_eligible,all,qwen:smaller_relay_after_large_selector,qwen_ls,qwen_ll,b_present_stage2,0.0,0.0,0.0,1.0,1,4,0.05,1,qwen
itt,all,qwen:large_first_order,qwen_ls,qwen_sl,f1,-0.375,-0.375,-0.375,1.0,1,4,0.05,0,qwen
itt,all,qwen:large_first_order,qwen_ls,qwen_sl,b_present_stage2,-0.75,-0.75,-0.75,1.0,1,4,0.05,0,qwen
compliant,all,qwen:large_first_order,qwen_ls,qwen_sl,f1,-0.375,-0.375,-0.375,1.0,1,4,0.05,0,qwen
compliant,all,qwen:large_first_order,qwen_ls,qwen_sl,b_present_stage2,-0.75,-0.75,-0.75,1.0,1,4,0.05,0,qwen
qa_eligible,all,qwen:large_first_order,qwen_ls,qwen_sl,f1,-0.375,-0.375,-0.375,1.0,1,4,0.05,0,qwen
qa_eligible,all,qwen:large_first_order,qwen_ls,qwen_sl,b_present_stage2,-0.75,-0.75,-0.75,1.0,1,4,0.05,0,qwen
