policy,budget_words,relation,kind,metric,mean,lo,hi,n_contexts,n_cells
generic,80,same_entity,regret,judge_correct,0.8125,0.75,0.875,16,64
generic,80,same_topic,utility,em,0.140625,0.0625,0.21875,16,64
generic,80,same_topic,regret,em,0.8125,0.703125,0.921875,16,64
generic,80,same_topic,utility,f1,0.18333333333333332,0.09739583333333333,0.2729166666666667,16,64
generic,80,same_topic,regret,f1,0.8010416666666667,0.6994661458333334,0.8973958333333334,16,64
generic,80,same_topic,utility,judge_correct,0.171875,0.078125,0.265625,16,64
generic,80,same_topic,regret,judge_correct,0.828125,0.734375,0.921875,16,64
generic,80,orthogonal,utility,em,0.17578125,0.11328125,0.23828125,16,768
generic,80,orthogonal,regret,em,0.66796875,0.609375,0.73046875,16,768
generic,80,orthogonal,utility,f1,0.283891369047619,0.23262555803571427,0.33372395833333335,16,768
generic,80,orthogonal,regret,f1,0.6416294642857143,0.5895438058035714,0.6961504836309523,16,768
generic,80,orthogonal,utility,judge_correct,0.32421875,0.265625,0.37890625,16,768
generic,80,orthogonal,regret,judge_correct,0.66796875,0.609375,0.7265625,16,768
generic,160,paraphrase,utility,em,0.390625,0.25,0.53125,16,64
generic,160,paraphrase,regret,em,0.390625,0.28125,0.5,16,64
generic,160,paraphrase,utility,f1,0.5463541666666667,0.4421875,0.6505208333333333,16,64
generic,160,paraphrase,regret,f1,0.32864583333333336,0.24010416666666667,0.421875,16,64
generic,160,paraphrase,utility,judge_correct,0.609375,0.515625,0.703125,16,64
generic,160,paraphrase,regret,judge_correct,0.375,0.265625,0.484375,16,64
generic,160,same_entity,utility,em,0.5,0.375,0.625,16,64
generic,160,same_entity,regret,em,0.34375,0.234375,0.46875,16,64
generic,160,same_entity,utility,f1,0.5489583333333333,0.43489583333333337,0.6661458333333333,16,64
generic,160,same_entity,regret,f1,0.39531249999999996,0.2864583333333333,0.5052083333333333,16,64
generic,160,same_entity,utility,judge_correct,0.5625,0.453125,0.671875,16,64
generic,160,same_entity,regret,judge_correct,0.4375,0.328125,0.546875,16,64
generic,160,same_topic,utility,em,0.265625,0.15625,0.375,16,64
generic,160,same_topic,regret,em,0.6875,0.5625,0.8125,16,64
generic,160,same_topic,utility,f1,0.30238095238095236,0.19375,0.4125744047619047,16,64
generic,160,same_topic,regret,f1,0.6819940476190476,0.5684468005952381,0.796577380952381,16,64
generic,160,same_topic,utility,judge_correct,0.28125,0.171875,0.390625,16,64
generic,160,same_topic,regret,judge_correct,0.71875,0.609375,0.828125,16,64
generic,160,orthogonal,utility,em,0.39453125,0.3203125,0.4727539062499986,16,768
generic,160,orthogonal,regret,em,0.44921875,0.38671875,0.50390625,16,768
generic,160,orthogonal,utility,f1,0.4884858630952381,0.4292954799107143,0.5525497581845238,16,768
generic,160,orthogonal,regret,f1,0.43703497023809523,0.376689453125,0.4926339285714285,16,768
generic,160,orthogonal,utility,judge_correct,0.515625,0.45703125,0.57421875,16,768
generic,160,orthogonal,regret,judge_correct,0.4765625,0.41015625,0.5390625,16,768
lm_conditioned,20,paraphrase,utility,em,0.046875,0.0,0.125,16,64
lm_conditioned,20,paraphrase,regret,em,0.734375,0.65625,0.8125,16,64
lm_conditioned,20,paraphrase,utility,f1,0.0546875,0.0,0.1484375,16,64
lm_conditioned,20,paraphrase,regret,f1,0.8203125,0.7395833333333333,0.8880208333333333,16,64
lm_conditioned,20,paraphrase,utility,judge_correct,0.0625,0.0,0.140625,16,64
lm_conditioned,20,paraphrase,regret,judge_correct,0.921875,0.84375,0.984375,16,64
lm_conditioned,20,same_entity,utility,em,0.015625,0.0,0.046875,16,64
lm_conditioned,20,same_entity,regret,em,0.828125,0.75,0.90625,16,64
lm_conditioned,20,same_entity,utility,f1,0.04357638888888889,0.010416666666666666,0.0828125,16,64
lm_conditioned,20,same_entity,regret,f1,0.9006944444444445,0.8588541666666667,0.9399305555555555,16,64
lm_conditioned,20,same_entity,utility,judge_correct,0.015625,0.0,0.046875,16,64
lm_conditioned,20,same_entity,regret,judge_correct,0.984375,0.953125,1.0,16,64
lm_conditioned,20,same_topic,utility,em,0.0,0.0,0.0,16,64
lm_conditioned,20,same_topic,regret,em,0.953125,0.875,1.0,16,64
lm_conditioned,20,same_topic,utility,f1,0.017262914781297135,0.0024038461538461535,0.03625801282051282,16,64
lm_conditioned,20,same_topic,regret,f1,0.9671120852187028,0.9401041666666666,0.9903492647058824,16,64
lm_conditioned,20,same_topic,utility,judge_correct,0.015625,0.0,0.046875,16,64
lm_conditioned,20,same_topic,regret,judge_correct,0.984375,0.953125,1.0,16,64
lm_conditioned,20,orthogonal,utility,em,0.0078125,0.0,0.015625,16,768
lm_conditioned,20,orthogonal,regret,em,0.8359375,0.7903645833333334,0.8763020833333334,16,768
lm_conditioned,20,orthogonal,utility,f1,0.02331390355287414,0.01041658156318083,0.03829129221132897,16,768
lm_conditioned,20,orthogonal,regret,f1,0.9022069297804591,0.8783776984351432,0.9254781539351851,16,768
lm_conditioned,20,orthogonal,utility,judge_correct,0.020833333333333332,0.005208333333333333,0.0390625,16,768
lm_conditioned,20,orthogonal,regret,judge_correct,0.9713541666666667,0.9453125,0.9934895833333334,16,768
lm_conditioned,40,paraphrase,utility,em,0.453125,0.34375,0.5785156249999943,16,64
lm_conditioned,40,paraphrase,regret,em,0.328125,0.25,0.40625,16,64
lm_conditioned,40,paraphrase,utility,f1,0.553125,0.453125,0.6625,16,64
lm_conditioned,40,paraphrase,regret,f1,0.321875,0.23333333333333334,0.4088541666666667,16,64
lm_conditioned,40,paraphrase,utility,judge_correct,0.625,0.515625,0.734375,16,64
lm_conditioned,40,paraphrase,regret,judge_correct,0.359375,0.25,0.46875,16,64
lm_conditioned,40,same_entity,utility,em,0.046875,0.0,0.09375,16,64
lm_conditioned,40,same_entity,regret,em,0.796875,0.71875,0.875,16,64
lm_conditioned,40,same_entity,utility,f1,0.057291666666666664,0.015625,0.109375,16,64
lm_conditioned,40,same_entity,regret,f1,0.8869791666666667,0.840625,0.9317708333333333,16,64
