policy,family,budget_words,n_rotations,u_now,u_now_lo,u_now_hi,u_future,u_future_lo,u_future_hi,utility,utility_lo,utility_hi,tv_mismatch,js_mismatch,p_hat_entropy,c_context,c_retrieval,cost,retrieval_rate,n_pointer,n_externalize,n_compress
preserve__sigma0p5,preserve,80,64,1.0,1.0,1.0,0.3834635416666667,0.35429687499999996,0.41236979166666665,1.3834635416666665,1.3542968750000002,1.4123697916666667,0.45,0.1788510987426215,0.7183332409583436,65.03125,0.0,65.03125,0.0,0.0,0.0,1.609375
preserve__sigma1,preserve,40,64,0.875,0.796875,0.9375,0.07799479166666667,0.07187500000000002,0.08385416666666667,0.9529947916666666,0.8723925781249999,1.0235709635416668,0.9,0.7582766571931676,0.0,35.0,0.0,35.0,0.0,0.0,0.0,1.578125
preserve__sigma1,preserve,80,64,0.984375,0.953125,1.0,0.10872395833333336,0.10273437500000002,0.117578125,1.0930989583333333,1.0578124999999998,1.11484375,0.9,0.7582766571931676,0.0,73.734375,0.0,73.734375,0.0,0.0,0.0,0.609375
preserve__tau0,preserve,40,64,0.890625,0.8125,0.953125,0.34596354166666665,0.3106770833333333,0.3779980468749999,1.2365885416666664,1.127210286458333,1.3287792968749998,0.0,0.0,0.6783898247235198,27.546875,0.0,27.546875,0.0,0.0,0.0,1.921875
preserve__tau0,preserve,80,64,0.984375,0.953125,1.0,0.45924479166666654,0.4325520833333333,0.48659179687499987,1.4436197916666667,1.3971354166666667,1.4830729166666665,0.0,0.0,0.6783898247235198,59.921875,0.0,59.921875,0.0,0.0,0.0,0.609375
preserve__tau0p5,preserve,40,64,0.890625,0.8125,0.953125,0.22005208333333331,0.17447591145833333,0.2656282552083333,1.1106770833333335,1.00181640625,1.2136718749999997,0.22499999999999998,0.03805118115463712,0.9151505959607085,22.15625,0.0,22.15625,0.0,0.0,0.0,1.671875
preserve__tau0p5,preserve,80,64,0.984375,0.953125,1.0,0.4001302083333333,0.3665364583333333,0.43124999999999997,1.3845052083333331,1.3276009114583334,1.4283854166666665,0.22499999999999998,0.03805118115463712,0.9151505959607085,50.5,0.0,50.5,0.0,0.0,0.0,1.265625
preserve__tau1,preserve,40,64,0.875,0.796875,0.9375,0.037109375,0.029817708333333335,0.04596354166666666,0.912109375,0.8287760416666667,0.984375,0.44999999999999996,0.15191136719789716,1.0,13.921875,0.0,13.921875,0.0,0.0,0.0,0.953125
preserve__tau1,preserve,80,64,1.0,1.0,1.0,0.32942708333333337,0.2718717447916667,0.383857421875,1.3294270833333335,1.2718717447916668,1.383857421875,0.44999999999999996,0.15191136719789716,1.0,66.140625,0.0,66.140625,0.0,0.0,0.0,3.34375
retrieval_only,retrieval_only,40,64,0.890625,0.8125,0.953125,0.8962239583333333,0.857939453125,0.9295638020833332,1.7868489583333331,1.6910123697916666,1.8723958333333333,,,,13.796875,55.45703125,41.525390625,1.0,0.0,15.515625,0.9375
retrieval_only,retrieval_only,80,64,0.984375,0.953125,1.0,0.9002604166666666,0.8626269531249999,0.9332063802083332,1.8846354166666666,1.8337239583333331,1.9274739583333331,,,,27.578125,55.453125,55.3046875,1.0,0.0,15.5,0.0625
static_conditioned,static_conditioned,40,64,0.890625,0.8125,0.953125,0.03723958333333333,0.029947916666666668,0.04583333333333334,0.9278645833333333,0.8450488281249999,0.996748046875,,,,14.125,0.0,14.125,0.0,0.0,0.0,0.953125
static_conditioned,static_conditioned,80,64,0.984375,0.953125,1.0,0.035546875000000006,0.03411458333333334,0.03723958333333334,1.019921875,0.9884114583333334,1.0365885416666667,,,,27.578125,0.0,27.578125,0.0,0.0,0.0,0.0625
uncertainty_aware__tau0,uncertainty_aware,40,64,0.890625,0.8125,0.953125,0.34869791666666666,0.3123697916666667,0.38151041666666663,1.2393229166666666,1.1287695312499997,1.3319042968749997,0.0,0.0,0.6783898247235198,27.546875,0.0,27.546875,0.0,0.0,0.0,1.921875
uncertainty_aware__tau0,uncertainty_aware,80,64,0.984375,0.953125,1.0,0.45976562499999996,0.43306315104166665,0.48724283854166656,1.444140625,1.3975260416666666,1.4834635416666666,0.0,0.0,0.6783898247235198,59.921875,0.0,59.921875,0.0,0.0,0.0,0.609375
uncertainty_aware__tau1,uncertainty_aware,40,64,0.890625,0.8125,0.953125,0.8967447916666667,0.858330078125,0.93046875,1.7873697916666664,1.691663411458333,1.8731835937499999,0.44999999999999996,0.15191136719789716,1.0,13.796875,55.45703125,41.525390625,1.0,0.0,15.515625,0.9375
