policy,display,budget_words,slice,n_cells,n_contexts,span_survival,span_survival_lo,span_survival_hi,accuracy,accuracy_lo,accuracy_hi,accuracy_given_survival,n_contexts_with_survival,survival_shortfall
passthrough,passthrough (prefix),160,same_entity,64,16,0.3125,0.265625,0.375,0.3125,0.265625,0.375,1.0,16,0.0
passthrough,passthrough (prefix),160,same_topic,64,16,0.25,0.25,0.25,0.25,0.25,0.25,1.0,16,0.0
passthrough,passthrough (prefix),160,orthogonal,768,16,0.375,0.34765625,0.3984375,0.375,0.3515625,0.39453125,0.9910714285714286,16,0.0
lm_generic,lm_elimination_generic,20,q_now,64,16,0.015625,0.0,0.046875,0.03125,0.0,0.078125,1.0,1,-0.015625
lm_generic,lm_elimination_generic,20,any_future,960,16,0.011458333333333334,0.0,0.030208333333333334,0.02291666666666667,0.004166666666666667,0.044791666666666674,1.0,2,-0.011458333333333334
lm_generic,lm_elimination_generic,20,paraphrase,64,16,0.015625,0.0,0.046875,0.03125,0.0,0.078125,1.0,1,-0.015625
lm_generic,lm_elimination_generic,20,same_entity,64,16,0.015625,0.0,0.046875,0.015625,0.0,0.046875,1.0,1,0.0
lm_generic,lm_elimination_generic,20,same_topic,64,16,0.0,0.0,0.0,0.015625,0.0,0.046875,nan,0,-0.015625
lm_generic,lm_elimination_generic,20,orthogonal,768,16,0.01171875,0.0,0.03125,0.0234375,0.00390625,0.046875,1.0,2,-0.01171875
lm_generic,lm_elimination_generic,40,q_now,64,16,0.09375,0.03125,0.15625,0.078125,0.03125,0.140625,0.8333333333333334,6,0.015625
lm_generic,lm_elimination_generic,40,any_future,960,16,0.07708333333333334,0.058333333333333334,0.09479166666666666,0.06979166666666667,0.05,0.08854166666666667,0.9285714285714286,14,0.0072916666666666685
lm_generic,lm_elimination_generic,40,paraphrase,64,16,0.09375,0.03125,0.15625,0.078125,0.03125,0.140625,0.8333333333333334,6,0.015625
lm_generic,lm_elimination_generic,40,same_entity,64,16,0.078125,0.03125,0.140625,0.078125,0.03125,0.140625,1.0,5,0.0
lm_generic,lm_elimination_generic,40,same_topic,64,16,0.046875,0.0,0.09375,0.046875,0.0,0.09375,1.0,3,0.0
lm_generic,lm_elimination_generic,40,orthogonal,768,16,0.078125,0.05859375,0.09765625,0.0703125,0.05078125,0.08984375,0.9285714285714286,14,0.0078125
lm_generic,lm_elimination_generic,80,q_now,64,16,0.203125,0.109375,0.3125,0.1875,0.09375,0.296875,0.9,10,0.015625
lm_generic,lm_elimination_generic,80,any_future,960,16,0.18229166666666669,0.14791666666666667,0.21875,0.175,0.13854166666666667,0.21354166666666666,0.9602272727272727,16,0.007291666666666696
lm_generic,lm_elimination_generic,80,paraphrase,64,16,0.203125,0.109375,0.3125,0.1875,0.09375,0.296875,0.9,10,0.015625
lm_generic,lm_elimination_generic,80,same_entity,64,16,0.140625,0.078125,0.203125,0.140625,0.078125,0.203125,1.0,9,0.0
lm_generic,lm_elimination_generic,80,same_topic,64,16,0.1875,0.125,0.25,0.1875,0.125,0.25,1.0,11,0.0
lm_generic,lm_elimination_generic,80,orthogonal,768,16,0.18359375,0.1484375,0.22265625,0.17578125,0.13671875,0.21875,0.9583333333333333,16,0.0078125
