policy,display,context_id,rotation_id,target_words,delivered_words,fill_ratio,source_words,retention_fraction,selected_unit_count,declared_selected_unit_count,units_skipped_for_fit,empty_message,over_budget
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:founding:anchor,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:custom:anchor,40,32,0.8,419,0.07637231503579953,1,1,14,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:facilities:anchor,40,35,0.875,419,0.08353221957040573,1,1,14,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:finance:anchor,40,29,0.725,419,0.06921241050119331,1,1,14,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:founding:anchor,40,25,0.625,419,0.059665871121718374,1,1,14,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:custom:anchor,80,79,0.9875,419,0.18854415274463007,3,3,12,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:facilities:anchor,80,64,0.8,419,0.15274463007159905,2,2,13,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:finance:anchor,80,80,1.0,419,0.1909307875894988,3,3,12,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:15,rel:15|cond=rel:15:founding:anchor,80,64,0.8,419,0.15274463007159905,3,3,12,False,False
nonllm_generic,nonllm_elimination_generic,rel:15,-,160,153,0.95625,419,0.36515513126491644,5,5,10,False,False
nonllm_generic,nonllm_elimination_generic,rel:15,-,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
nonllm_generic,nonllm_elimination_generic,rel:15,-,40,29,0.725,419,0.06921241050119331,1,1,14,False,False
nonllm_generic,nonllm_elimination_generic,rel:15,-,80,64,0.8,419,0.15274463007159905,2,2,13,False,False
oracle,summary_oracle,rel:15,-,160,140,0.875,419,0.3341288782816229,0,,,False,False
oracle,summary_oracle,rel:15,-,20,17,0.85,419,0.0405727923627685,0,,,False,False
oracle,summary_oracle,rel:15,-,40,40,1.0,419,0.0954653937947494,0,,,False,False
oracle,summary_oracle,rel:15,-,80,74,0.925,419,0.1766109785202864,0,,,False,False
paraphrase,paraphrase,rel:15,-,160,151,0.94375,419,0.360381861575179,0,,,False,False
paraphrase,paraphrase,rel:15,-,20,20,1.0,419,0.0477326968973747,0,,,False,False
paraphrase,paraphrase,rel:15,-,40,38,0.95,419,0.09069212410501193,0,,,False,False
paraphrase,paraphrase,rel:15,-,80,78,0.975,419,0.18615751789976134,0,,,False,False
passthrough,passthrough (prefix),rel:15,-,160,157,0.98125,419,0.3747016706443914,6,6,9,False,False
passthrough,passthrough (prefix),rel:15,-,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
passthrough,passthrough (prefix),rel:15,-,40,39,0.975,419,0.09307875894988067,2,2,13,False,False
passthrough,passthrough (prefix),rel:15,-,80,74,0.925,419,0.1766109785202864,3,3,12,False,False
random_selection,random_selection,rel:15,-,160,149,0.93125,419,0.3556085918854415,5,5,10,False,False
random_selection,random_selection,rel:15,-,20,17,0.85,419,0.0405727923627685,1,1,14,False,False
random_selection,random_selection,rel:15,-,40,35,0.875,419,0.08353221957040573,1,1,14,False,False
random_selection,random_selection,rel:15,-,80,77,0.9625,419,0.18377088305489261,3,3,12,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:custom:anchor,160,143,0.89375,419,0.3412887828162291,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:facilities:anchor,160,145,0.90625,419,0.3460620525059666,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:finance:anchor,160,148,0.925,419,0.3532219570405728,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:founding:anchor,160,148,0.925,419,0.3532219570405728,1,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:custom:anchor,20,19,0.95,419,0.045346062052505964,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:facilities:anchor,20,18,0.9,419,0.04295942720763723,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:finance:anchor,20,19,0.95,419,0.045346062052505964,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:founding:anchor,20,20,1.0,419,0.0477326968973747,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:custom:anchor,40,35,0.875,419,0.08353221957040573,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:facilities:anchor,40,34,0.85,419,0.081145584725537,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:finance:anchor,40,38,0.95,419,0.09069212410501193,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:founding:anchor,40,38,0.95,419,0.09069212410501193,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:custom:anchor,80,79,0.9875,419,0.18854415274463007,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:facilities:anchor,80,73,0.9125,419,0.17422434367541767,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:finance:anchor,80,70,0.875,419,0.16706443914081145,0,,,False,False
reusable,summary_reusable,rel:15,rel:15|cond=rel:15:founding:anchor,80,74,0.925,419,0.1766109785202864,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,160,149,0.93125,402,0.3706467661691542,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,160,139,0.86875,402,0.34577114427860695,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,160,140,0.875,402,0.3482587064676617,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,160,136,0.85,402,0.3383084577114428,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,20,19,0.95,402,0.0472636815920398,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,20,20,1.0,402,0.04975124378109453,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,20,19,0.95,402,0.0472636815920398,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,20,18,0.9,402,0.04477611940298507,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,40,39,0.975,402,0.09701492537313433,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,40,35,0.875,402,0.08706467661691543,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,40,38,0.95,402,0.0945273631840796,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,40,37,0.925,402,0.09203980099502487,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,80,72,0.9,402,0.1791044776119403,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,80,71,0.8875,402,0.17661691542288557,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,80,70,0.875,402,0.17412935323383086,0,,,False,False
conditioned,summary_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,80,75,0.9375,402,0.1865671641791045,0,,,False,False
generic,summary_generic,rel:18,-,160,151,0.94375,402,0.3756218905472637,0,,,False,False
generic,summary_generic,rel:18,-,20,18,0.9,402,0.04477611940298507,0,,,False,False
generic,summary_generic,rel:18,-,40,39,0.975,402,0.09701492537313433,1,,,False,False
generic,summary_generic,rel:18,-,80,76,0.95,402,0.1890547263681592,0,,,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,160,154,0.9625,402,0.38308457711442784,6,6,10,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,160,140,0.875,402,0.3482587064676617,6,6,10,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,160,150,0.9375,402,0.373134328358209,6,6,10,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,160,150,0.9375,402,0.373134328358209,6,6,10,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,20,20,1.0,402,0.04975124378109453,1,1,15,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,20,20,1.0,402,0.04975124378109453,1,1,15,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,20,19,0.95,402,0.0472636815920398,1,1,15,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,20,20,1.0,402,0.04975124378109453,1,1,15,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,40,24,0.6,402,0.05970149253731343,1,1,15,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,40,40,1.0,402,0.09950248756218906,2,2,14,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,40,26,0.65,402,0.06467661691542288,1,1,15,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,40,39,0.975,402,0.09701492537313433,2,2,14,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,80,79,0.9875,402,0.19651741293532338,3,3,13,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,80,66,0.825,402,0.16417910447761194,3,3,13,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,80,70,0.875,402,0.17412935323383086,3,3,13,False,False
lm_conditioned,lm_elimination_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,80,75,0.9375,402,0.1865671641791045,3,3,13,False,False
lm_generic,lm_elimination_generic,rel:18,-,160,142,0.8875,402,0.35323383084577115,6,6,10,False,False
lm_generic,lm_elimination_generic,rel:18,-,20,19,0.95,402,0.0472636815920398,1,1,15,False,False
lm_generic,lm_elimination_generic,rel:18,-,40,40,1.0,402,0.09950248756218906,2,2,14,False,False
lm_generic,lm_elimination_generic,rel:18,-,80,70,0.875,402,0.17412935323383086,3,3,13,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,160,153,0.95625,402,0.3805970149253731,6,6,10,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,160,145,0.90625,402,0.36069651741293535,6,6,10,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,160,155,0.96875,402,0.3855721393034826,6,6,10,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,160,150,0.9375,402,0.373134328358209,6,6,10,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,20,20,1.0,402,0.04975124378109453,1,1,15,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,20,20,1.0,402,0.04975124378109453,1,1,15,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,20,20,1.0,402,0.04975124378109453,1,1,15,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,20,20,1.0,402,0.04975124378109453,1,1,15,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,40,32,0.8,402,0.07960199004975124,1,1,15,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:facilities:anchor,40,40,1.0,402,0.09950248756218906,2,2,14,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:finance:anchor,40,26,0.65,402,0.06467661691542288,1,1,15,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:founding:anchor,40,25,0.625,402,0.06218905472636816,1,1,15,False,False
nonllm_conditioned,nonllm_elimination_conditioned,rel:18,rel:18|cond=rel:18:custom:anchor,80,73,0.9125,402,0.18159203980099503,3,3,13,False,False
