policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations
conditioned,80,utility,future,f1,0.1870692791005291,0.1654776165674603,0.21517853009259258,16,64
conditioned,80,utility,future,judge_correct,0.19166666666666668,0.16666666666666669,0.221875,16,64
conditioned,80,utility,gap,em,0.625,0.534375,0.7093750000000001,16,64
conditioned,80,utility,gap,f1,0.6353265542328043,0.5525455109126984,0.7089311135912697,16,64
conditioned,80,utility,gap,judge_correct,0.8083333333333333,0.7781250000000001,0.8333333333333334,16,64
conditioned,80,regret,now,em,0.015625,-0.03125,0.078125,16,64
conditioned,80,regret,now,f1,0.020833333333333336,0.0,0.05729166666666667,16,64
conditioned,80,regret,now,judge_correct,0.0,0.0,0.0,16,64
conditioned,80,regret,future,em,0.6989583333333333,0.6489583333333334,0.7437500000000001,16,64
conditioned,80,regret,future,f1,0.7064376653439155,0.6681858258928572,0.740328021660053,16,64
conditioned,80,regret,future,judge_correct,0.8041666666666667,0.7750000000000001,0.828125,16,64
conditioned,80,retained,now,em,0.9583333333333333,0.8958333333333333,1.0,16,64
conditioned,80,retained,now,f1,0.9387152777777779,0.8854166666666666,0.9821180555555555,16,64
conditioned,80,retained,now,judge_correct,1.0,1.0,1.0,16,64
conditioned,80,retained,future,em,0.18372642982017984,0.1586258142898768,0.2185531720883283,16,64
conditioned,80,retained,future,f1,0.20349244505494507,0.18015426110347985,0.2353573765644078,16,64
conditioned,80,retained,future,judge_correct,0.1922619047619048,0.16830357142857144,0.22202380952380954,16,64
conditioned,80,channel,message,delivered_words,71.921875,70.8125,73.015625,16,64
conditioned,80,channel,message,fill_ratio,0.8990234375,0.88515625,0.9126953125,16,64
generic,40,utility,now,em,0.296875,0.2027343750000017,0.40625,16,64
generic,40,utility,now,f1,0.45818452380952385,0.3614583333333333,0.5520833333333333,16,64
generic,40,utility,now,judge_correct,0.546875,0.4375,0.65625,16,64
generic,40,utility,future,em,0.25520833333333337,0.18645833333333334,0.32395833333333335,16,64
generic,40,utility,future,f1,0.3514980158730159,0.28431436011904765,0.4154026537698412,16,64
generic,40,utility,future,judge_correct,0.40520833333333334,0.32809895833333347,0.47604166666666664,16,64
