comparison,treatment,control,budget_words,kind,endpoint,metric,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_reusable,conditioned,reusable,80,retained,future,f1,-0.19118141407203904,-0.2403233983898046,-0.14456868131868134,0.0,16,-1.9260768826040944
conditioned_minus_reusable,conditioned,reusable,80,retained,future,judge_correct,-0.2063988095238095,-0.2535751488095238,-0.159375,0.0,16,-2.0773208082136234
conditioned_minus_reusable,conditioned,reusable,80,specialisation_did,now_minus_future,em,0.2197916666666666,0.14999999999999997,0.291692708333333,0.0,16,1.4929112415041101
conditioned_minus_reusable,conditioned,reusable,80,specialisation_did,now_minus_future,f1,0.21235036375661373,0.15145219494047618,0.27184139384920625,0.0,16,1.7238816748675354
conditioned_minus_reusable,conditioned,reusable,80,specialisation_did,now_minus_future,judge_correct,0.20520833333333333,0.15937499999999996,0.25104166666666666,0.0,16,2.084296294862157
reusable_minus_generic,reusable,generic,40,utility,now,em,0.484375,0.359375,0.59375,0.0,16,1.9415491162242835
reusable_minus_generic,reusable,generic,40,utility,now,f1,0.37254464285714284,0.2640531994047619,0.48400669642857136,0.0,16,1.6008468738856776
reusable_minus_generic,reusable,generic,40,utility,now,judge_correct,0.4375,0.328125,0.5625,0.0,16,1.75
reusable_minus_generic,reusable,generic,40,utility,future,em,-0.09999999999999998,-0.16354166666666667,-0.03645833333333332,0.0026,16,-0.7492199685877046
reusable_minus_generic,reusable,generic,40,utility,future,f1,-0.15399222883597885,-0.21455729166666668,-0.09151649305555558,0.0,16,-1.1766856013599594
reusable_minus_generic,reusable,generic,40,utility,future,judge_correct,-0.196875,-0.2645833333333333,-0.11666666666666667,0.0002,16,-1.2571054714666519
reusable_minus_generic,reusable,generic,40,utility,gap,em,0.5843750000000001,0.503125,0.6625000000000001,0.0,16,3.46837689067952
reusable_minus_generic,reusable,generic,40,utility,gap,f1,0.5265368716931217,0.44618189897486776,0.6072577504960317,0.0,16,3.0810033396744303
reusable_minus_generic,reusable,generic,40,utility,gap,judge_correct,0.6343750000000001,0.5604166666666668,0.7020833333333334,0.0,16,4.208542519816493
reusable_minus_generic,reusable,generic,40,regret,now,em,-0.484375,-0.59375,-0.359375,0.0,16,-1.9415491162242835
reusable_minus_generic,reusable,generic,40,regret,now,f1,-0.37254464285714284,-0.48400669642857136,-0.264053199404762,0.0,16,-1.6008468738856776
reusable_minus_generic,reusable,generic,40,regret,now,judge_correct,-0.4375,-0.5625,-0.328125,0.0,16,-1.75
reusable_minus_generic,reusable,generic,40,regret,future,em,0.10000000000000002,0.03645833333333332,0.16354166666666672,0.0026,16,0.7492199685877047
reusable_minus_generic,reusable,generic,40,regret,future,f1,0.1539922288359788,0.09151649305555554,0.2145572916666666,0.0,16,1.1766856013599587
reusable_minus_generic,reusable,generic,40,regret,future,judge_correct,0.19687500000000002,0.1166666666666667,0.26458333333333334,0.0002,16,1.257105471466652
reusable_minus_generic,reusable,generic,40,retained,now,em,0.59375,0.45833333333333337,0.7239583333333334,0.0,16,2.1179982977793377
reusable_minus_generic,reusable,generic,40,retained,now,f1,0.4489335317460318,0.3381646825396826,0.5598995535714285,0.0,16,1.9220074020153168
reusable_minus_generic,reusable,generic,40,retained,now,judge_correct,0.4375,0.328125,0.5625,0.0,16,1.75
