dataset,context_variant,depth,metric,delta,lo,hi,p_value,n
musique,full,8,f1,-0.26089196339196336,-0.4031894841269841,-0.12898148148148147,0.0004,30
musique,full,8,judge_correct,-0.43333333333333335,-0.6,-0.26666666666666666,0.0,30
musique,full,9,em,-0.2,-0.36666666666666664,-0.05,0.0163,30
musique,full,9,f1,-0.2562623337623337,-0.40404842342342334,-0.11613497425997427,0.0006,30
musique,full,9,judge_correct,-0.43333333333333335,-0.6,-0.26666666666666666,0.0,30
musique,full,10,em,-0.21666666666666667,-0.38333333333333336,-0.06666666666666667,0.0118,30
musique,full,10,f1,-0.27237344487344484,-0.4263115079365079,-0.1262439135564136,0.0004,30
musique,full,10,judge_correct,-0.4666666666666667,-0.6333333333333333,-0.3,0.0,30
musique,medium,1,em,-0.15,-0.2833333333333333,-0.03333333333333333,0.0218,30
musique,medium,1,f1,-0.12041666666666666,-0.2413923611111111,-0.023888888888888897,0.0269,30
musique,medium,1,judge_correct,-0.13333333333333333,-0.26666666666666666,-0.03333333333333333,0.0545,30
musique,medium,2,em,-0.13333333333333333,-0.26666666666666666,-0.016666666666666666,0.0543,30
musique,medium,2,f1,-0.12826951951951954,-0.2526407657657658,-0.029039039039039042,0.0249,30
musique,medium,2,judge_correct,-0.18333333333333332,-0.31666666666666665,-0.06666666666666667,0.008,30
musique,medium,3,em,-0.13333333333333333,-0.26666666666666666,-0.016666666666666666,0.0532,30
musique,medium,3,f1,-0.12242063492063493,-0.24916666666666668,-0.015614087301587332,0.0394,30
musique,medium,3,judge_correct,-0.18333333333333332,-0.3333333333333333,-0.05,0.0165,30
musique,medium,4,em,-0.15,-0.2833333333333333,-0.03333333333333333,0.0315,30
musique,medium,4,f1,-0.14292748917748915,-0.26954545454545453,-0.033939393939393936,0.0175,30
musique,medium,4,judge_correct,-0.21666666666666667,-0.36666666666666664,-0.08333333333333333,0.0058,30
musique,medium,5,em,-0.13333333333333333,-0.2833333333333333,0.0,0.0689,30
musique,medium,5,f1,-0.11839938964938965,-0.24825842035217033,-0.007506532506532515,0.0541,30
musique,medium,5,judge_correct,-0.16666666666666666,-0.3,-0.03333333333333333,0.0194,30
musique,medium,6,em,-0.15,-0.2833333333333333,-0.03333333333333333,0.021,30
musique,medium,6,f1,-0.14597863556196888,-0.2676524621212121,-0.04776625380792052,0.01,30
musique,medium,6,judge_correct,-0.21666666666666667,-0.36666666666666664,-0.08333333333333333,0.003,30
musique,medium,7,em,-0.15,-0.2833333333333333,-0.03333333333333333,0.0315,30
musique,medium,7,f1,-0.12667748917748917,-0.25118281024531014,-0.021201028138528144,0.0325,30
musique,medium,7,judge_correct,-0.18333333333333332,-0.3170833333333296,-0.05,0.011,30
musique,medium,8,em,-0.15,-0.2833333333333333,-0.03333333333333333,0.031,30
musique,medium,8,f1,-0.13009920634920635,-0.2550024801587301,-0.023725198412698482,0.0275,30
musique,medium,8,judge_correct,-0.18333333333333332,-0.3333333333333333,-0.06666666666666667,0.0101,30
musique,medium,9,em,-0.15,-0.2833333333333333,-0.03333333333333333,0.029,30
