comparison,stratum,query_type,depth,metric,delta,lo,hi,p_value,n
conditioned_minus_generic,fixed,heldout,3,judge_correct,-0.5,-0.8,-0.2,0.002,10
conditioned_minus_generic,switching,heldout,3,judge_correct,-0.3,-0.7,0.1,0.2156,10
switching_minus_fixed,conditioned,heldout,3,judge_correct,0.2,0.0,0.5,0.2256,10
switching_minus_fixed,generic,heldout,3,judge_correct,0.0,-0.3,0.3,1.0,10
conditioning_x_switching_interaction,factorial,heldout,3,judge_correct,0.2,-0.2,0.7,0.5211,10
conditioned_minus_generic,fixed,heldout,4,em,-0.1,-0.4,0.2,0.7706,10
conditioned_minus_generic,switching,heldout,4,em,-0.1,-0.3,0.0,0.6186,10
switching_minus_fixed,conditioned,heldout,4,em,-0.1,-0.4,0.2,0.7658,10
switching_minus_fixed,generic,heldout,4,em,-0.1,-0.4,0.2,0.7698,10
conditioning_x_switching_interaction,factorial,heldout,4,em,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,fixed,heldout,4,f1,-0.1,-0.4,0.2,0.7706,10
conditioned_minus_generic,switching,heldout,4,f1,-0.1,-0.3,0.0,0.6186,10
switching_minus_fixed,conditioned,heldout,4,f1,-0.1,-0.4,0.2,0.7658,10
switching_minus_fixed,generic,heldout,4,f1,-0.1,-0.4,0.2,0.7698,10
conditioning_x_switching_interaction,factorial,heldout,4,f1,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,fixed,heldout,4,judge_correct,-0.4,-0.7,-0.1,0.0184,10
conditioned_minus_generic,switching,heldout,4,judge_correct,-0.4,-0.7,-0.1,0.021,10
switching_minus_fixed,conditioned,heldout,4,judge_correct,0.1,0.0,0.3,0.6091,10
switching_minus_fixed,generic,heldout,4,judge_correct,0.1,0.0,0.3,0.6084,10
conditioning_x_switching_interaction,factorial,heldout,4,judge_correct,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,fixed,heldout,5,em,-0.1,-0.3,0.0,0.6186,10
conditioned_minus_generic,switching,heldout,5,em,-0.2,-0.6,0.2,0.4271,10
switching_minus_fixed,conditioned,heldout,5,em,0.1,0.0,0.3,0.6133,10
switching_minus_fixed,generic,heldout,5,em,0.2,0.0,0.5,0.2316,10
conditioning_x_switching_interaction,factorial,heldout,5,em,-0.1,-0.4,0.2,0.7615,10
conditioned_minus_generic,fixed,heldout,5,f1,-0.1,-0.3,0.0,0.6186,10
conditioned_minus_generic,switching,heldout,5,f1,-0.25,-0.6,0.15,0.2411,10
switching_minus_fixed,conditioned,heldout,5,f1,0.1,0.0,0.3,0.6133,10
switching_minus_fixed,generic,heldout,5,f1,0.25,0.0,0.5,0.078,10
conditioning_x_switching_interaction,factorial,heldout,5,f1,-0.15,-0.5,0.2,0.4799,10
conditioned_minus_generic,fixed,heldout,5,judge_correct,-0.3,-0.7,0.1,0.2143,10
conditioned_minus_generic,switching,heldout,5,judge_correct,-0.3,-0.7,0.1,0.2156,10
switching_minus_fixed,conditioned,heldout,5,judge_correct,0.2,0.0,0.5,0.2256,10
switching_minus_fixed,generic,heldout,5,judge_correct,0.2,0.0,0.5,0.2288,10
conditioning_x_switching_interaction,factorial,heldout,5,judge_correct,0.0,-0.4,0.4,1.0,10
conditioned_minus_generic,fixed,heldout,6,em,-0.2,-0.5,0.0,0.227,10
conditioned_minus_generic,switching,heldout,6,em,0.0,-0.3,0.3,1.0,10
switching_minus_fixed,conditioned,heldout,6,em,0.1,0.0,0.3,0.6133,10
switching_minus_fixed,generic,heldout,6,em,-0.1,-0.3,0.0,0.6133,10
conditioning_x_switching_interaction,factorial,heldout,6,em,0.2,0.0,0.6,0.6125,10
conditioned_minus_generic,fixed,heldout,6,f1,-0.2,-0.5,0.0,0.227,10
conditioned_minus_generic,switching,heldout,6,f1,0.0,-0.3,0.3,1.0,10
switching_minus_fixed,conditioned,heldout,6,f1,0.18333333333333332,0.0,0.4,0.0791,10
switching_minus_fixed,generic,heldout,6,f1,-0.01666666666666667,-0.2666666666666667,0.18333333333333332,0.933,10
conditioning_x_switching_interaction,factorial,heldout,6,f1,0.2,0.0,0.6,0.6125,10
conditioned_minus_generic,fixed,heldout,6,judge_correct,-0.4,-0.8,0.0,0.0873,10
conditioned_minus_generic,switching,heldout,6,judge_correct,-0.3,-0.7,0.1,0.2156,10
switching_minus_fixed,conditioned,heldout,6,judge_correct,0.2,0.0,0.5,0.2256,10
switching_minus_fixed,generic,heldout,6,judge_correct,0.1,-0.2,0.4,0.7678,10
conditioning_x_switching_interaction,factorial,heldout,6,judge_correct,0.1,-0.4,0.6,0.8513,10
