comparison,treatment,control,budget_words,kind,endpoint,metric,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,conditioned,generic,160,retained,now,f1,0.315625,0.2296875,0.409375,0.0,16,1.6734458273402397
conditioned_minus_generic,conditioned,generic,160,retained,now,judge_correct,0.36458333333333337,0.2604166666666667,0.46875,0.0,16,1.647720325025927
conditioned_minus_generic,conditioned,generic,160,retained,future,em,-0.2906472000222,-0.36468047794219666,-0.22780799712440336,0.0,16,-2.0268887937198796
conditioned_minus_generic,conditioned,generic,160,retained,future,f1,-0.32339220303506017,-0.3808509138431013,-0.27276856575963715,0.0,16,-2.8725719864715247
conditioned_minus_generic,conditioned,generic,160,retained,future,judge_correct,-0.3397035256410256,-0.39294871794871794,-0.290625,0.0,16,-3.1368601983605466
conditioned_minus_generic,conditioned,generic,160,specialisation_did,now_minus_future,em,0.5989583333333334,0.51875,0.6770833333333334,0.0,16,3.5433930120941617
conditioned_minus_generic,conditioned,generic,160,specialisation_did,now_minus_future,f1,0.6293694673382173,0.5571897178342491,0.7007023189484127,0.0,16,4.151814940664619
conditioned_minus_generic,conditioned,generic,160,specialisation_did,now_minus_future,judge_correct,0.7010416666666668,0.6125,0.7864583333333333,0.0,16,3.8689578474930078
conditioned_minus_reusable,conditioned,reusable,20,utility,now,em,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,20,utility,now,f1,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,20,utility,now,judge_correct,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,20,utility,future,em,-0.0031250000000000006,-0.0072916666666666685,0.0010416666666666669,0.2047,16,-0.34472891983269127
conditioned_minus_reusable,conditioned,reusable,20,utility,future,f1,-0.00305404643301315,-0.012006465541682255,0.0054092630473241915,0.4955,16,-0.16375149773409506
conditioned_minus_reusable,conditioned,reusable,20,utility,future,judge_correct,-0.004166666666666667,-0.011458333333333336,0.004166666666666667,0.3278,16,-0.24999999999999994
conditioned_minus_reusable,conditioned,reusable,20,utility,gap,em,0.0031250000000000097,-0.00104166666666667,0.007291666666666689,0.2325,16,0.3447289198326913
conditioned_minus_reusable,conditioned,reusable,20,utility,gap,f1,0.003054046433013123,-0.005409263047324205,0.012006465541682228,0.4955,16,0.16375149773409364
conditioned_minus_reusable,conditioned,reusable,20,utility,gap,judge_correct,0.004166666666666666,-0.004166666666666645,0.011458333333333334,0.2981,16,0.25000000000000033
conditioned_minus_reusable,conditioned,reusable,20,regret,now,em,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,20,regret,now,f1,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,20,regret,now,judge_correct,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,20,regret,future,em,0.0031250000000000236,-0.001041666666666663,0.007291666666666717,0.1339,16,0.3447289198326925
conditioned_minus_reusable,conditioned,reusable,20,regret,future,f1,0.003054046433013144,-0.0054092630473242045,0.012006465541682243,0.4955,16,0.1637514977340945
conditioned_minus_reusable,conditioned,reusable,20,regret,future,judge_correct,0.004166666666666666,-0.004166666666666645,0.011458333333333334,0.2981,16,0.25000000000000033
conditioned_minus_reusable,conditioned,reusable,20,retained,now,em,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,20,retained,now,f1,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,20,retained,now,judge_correct,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,20,retained,future,em,-0.003638288794538794,-0.008811500999000998,0.0014880952380952384,0.1871,16,-0.332379580757357
conditioned_minus_reusable,conditioned,reusable,20,retained,future,f1,-0.0025157702250940828,-0.01131914984279811,0.005814674290347047,0.5651,16,-0.13699640967138343
conditioned_minus_reusable,conditioned,reusable,20,retained,future,judge_correct,-0.004166666666666667,-0.011458333333333336,0.004166666666666667,0.3278,16,-0.24999999999999994
conditioned_minus_reusable,conditioned,reusable,20,specialisation_did,now_minus_future,em,0.0031250000000000097,-0.00104166666666667,0.007291666666666689,0.2281,16,0.3447289198326913
conditioned_minus_reusable,conditioned,reusable,20,specialisation_did,now_minus_future,f1,0.003054046433013123,-0.005398574517104459,0.011973681700244208,0.4966,16,0.16375149773409364
conditioned_minus_reusable,conditioned,reusable,20,specialisation_did,now_minus_future,judge_correct,0.004166666666666666,-0.004166666666666652,0.011458333333333341,0.2958,16,0.25000000000000033
conditioned_minus_reusable,conditioned,reusable,40,utility,now,em,0.0,0.0,0.0,1.0,16,nan
conditioned_minus_reusable,conditioned,reusable,40,utility,now,f1,-0.012499999999999997,-0.032812499999999994,0.0,0.2247,16,-0.3535533905932737
conditioned_minus_reusable,conditioned,reusable,40,utility,now,judge_correct,-0.015625,-0.046875,0.0,0.6206,16,-0.25
