policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations
generic,40,channel,message,delivered_words,37.125,36.25,38.0,16,64
generic,40,channel,message,fill_ratio,0.9281250000000001,0.90625,0.95,16,64
generic,80,utility,now,em,0.25,0.125,0.375,16,64
generic,80,utility,now,f1,0.38385416666666666,0.2817708333333333,0.4895833333333333,16,64
generic,80,utility,now,judge_correct,0.46875,0.390625,0.5625,16,64
generic,80,utility,future,em,0.17083333333333334,0.11041666666666666,0.23125,16,64
generic,80,utility,future,f1,0.2772271825396825,0.2268984375,0.3253529265873016,16,64
generic,80,utility,future,judge_correct,0.3145833333333334,0.259375,0.3677083333333333,16,64
generic,80,utility,gap,em,0.07916666666666668,-0.004166666666666659,0.17083333333333334,16,64
generic,80,utility,gap,f1,0.10662698412698414,0.029583333333333357,0.18541666666666667,16,64
generic,80,utility,gap,judge_correct,0.15416666666666667,0.10416666666666667,0.21250000000000002,16,64
generic,80,regret,now,em,0.546875,0.453125,0.640625,16,64
generic,80,regret,now,f1,0.5145833333333334,0.4140625,0.6078255208333332,16,64
generic,80,regret,now,judge_correct,0.515625,0.421875,0.609375,16,64
generic,80,regret,future,em,0.6760416666666667,0.6166666666666667,0.7395833333333334,16,64
generic,80,regret,future,f1,0.6500992063492064,0.599375,0.7037797619047619,16,64
generic,80,regret,future,judge_correct,0.6781250000000001,0.621875,0.7364583333333334,16,64
generic,80,retained,now,em,0.2864583333333333,0.14583333333333334,0.43229166666666663,16,64
generic,80,retained,now,f1,0.38732638888888893,0.28680555555555554,0.4921875,16,64
generic,80,retained,now,judge_correct,0.47916666666666663,0.390625,0.5677083333333333,16,64
generic,80,retained,future,em,0.19870164557664555,0.13145873007201136,0.2650313098359973,16,64
generic,80,retained,future,f1,0.2800963446275946,0.22868277815934063,0.3293180803571428,16,64
generic,80,retained,future,judge_correct,0.3175938644688645,0.2613438644688645,0.37153159340659336,16,64
generic,80,channel,message,delivered_words,73.25,71.5625,74.9375,16,64
generic,80,channel,message,fill_ratio,0.915625,0.89453125,0.93671875,16,64
generic,160,utility,now,em,0.421875,0.296875,0.546875,16,64
generic,160,utility,now,f1,0.55625,0.453125,0.6557421874999998,16,64
generic,160,utility,now,judge_correct,0.609375,0.515625,0.703125,16,64
generic,160,utility,future,em,0.3927083333333333,0.31666666666666665,0.47291666666666665,16,64
generic,160,utility,future,f1,0.48396825396825394,0.4231057787698413,0.547547867063492,16,64
generic,160,utility,future,judge_correct,0.5093749999999999,0.4520833333333334,0.56875,16,64
generic,160,utility,gap,em,0.02916666666666668,-0.04583333333333332,0.10416666666666669,16,64
generic,160,utility,gap,f1,0.07228174603174603,-0.0001393849206349104,0.1419454365079365,16,64
generic,160,utility,gap,judge_correct,0.1,0.029166666666666688,0.17083333333333334,16,64
generic,160,regret,now,em,0.375,0.296875,0.46875,16,64
generic,160,regret,now,f1,0.3421875,0.2624609375000003,0.4296875,16,64
generic,160,regret,now,judge_correct,0.375,0.265625,0.484375,16,64
generic,160,regret,future,em,0.45416666666666666,0.39166666666666666,0.5125,16,64
generic,160,regret,future,f1,0.4433581349206349,0.3825476190476191,0.5003829365079364,16,64
generic,160,regret,future,judge_correct,0.4833333333333333,0.4166666666666667,0.5458333333333334,16,64
generic,160,retained,now,em,0.5104166666666666,0.390625,0.6302083333333333,16,64
generic,160,retained,now,f1,0.5640625,0.4630208333333333,0.6609375,16,64
generic,160,retained,now,judge_correct,0.6041666666666666,0.5104166666666666,0.6979166666666666,16,64
generic,160,retained,future,em,0.45115674256299254,0.3748463754127817,0.5326288815351314,16,64
generic,160,retained,future,f1,0.48728613400488396,0.4267548363095238,0.5494815705128205,16,64
