stack_id,stack_label,dataset,future_distribution,metric,policy_family,requested_budget,n_preferences,n_contexts,future_shares,preference_ids,u_now_values,u_future_values,slope_u_now,slope_u_now_lo,slope_u_now_hi,slope_u_future,slope_u_future_lo,slope_u_future_hi,spearman_u_now,spearman_u_future,endpoint_delta_u_now,endpoint_delta_u_now_lo,endpoint_delta_u_now_hi,endpoint_delta_u_future,endpoint_delta_u_future_lo,endpoint_delta_u_future_hi,adjacent_nonincrease_u_now,adjacent_nondecrease_u_future,point_direction_correct,joint_sign_probability,joint_direction_robust,ci_level,n_resamples
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,empirical_cells,judge_correct,split,80,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.984375, 0.984375, 1.0, 1.0, 0.109375]","[0.14270833333333335, 0.20833333333333331, 0.26875, 0.284375, 0.2989583333333333]",-0.69375,-0.75,-0.61875,0.15541666666666665,0.12583333333333332,0.1841666666666667,-0.10540925533894598,0.9999999999999999,-0.875,-0.9375,-0.796875,0.15624999999999997,0.13124999999999995,0.18125000000000002,0.75,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,em,scalar,80,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.78125, 0.765625, 0.765625, 0.765625, 0.75]","[0.061197916666666664, 0.10807291666666666, 0.07682291666666667, 0.09374999999999999, 0.10807291666666664]",-0.025,-0.0625,0.0,0.03177083333333332,0.010937500000000006,0.05416666666666666,-0.8944271909999159,0.39999999999999997,-0.03125,-0.078125,0.0,0.04687499999999998,0.018229166666666657,0.08072916666666664,1.0,0.75,True,0.8794,False,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,em,split,160,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.78125, 0.78125, 0.78125, 0.78125, 0.015625]","[0.078125, 0.13020833333333331, 0.21875000000000003, 0.3177083333333333, 0.38802083333333326]",-0.6125,-0.66875,-0.55625,0.32291666666666663,0.26092447916666667,0.3859375,-0.7071067811865475,0.9999999999999999,-0.765625,-0.828125,-0.703125,0.30989583333333326,0.2526041666666667,0.3671875,1.0,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,em,split,40,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.75, 0.78125, 0.78125, 0.640625, 0.09375]","[0.00390625, 0.04296875, 0.0546875, 0.08854166666666667, 0.11328125000000001]",-0.58125,-0.65,-0.51875,0.1057291666666667,0.07395833333333332,0.1369791666666667,-0.6668859288553503,0.9999999999999999,-0.65625,-0.75,-0.5625,0.10937500000000001,0.07552083333333334,0.14322916666666666,0.75,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,em,split,80,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.765625, 0.765625, 0.765625, 0.796875, 0.03125]","[0.0026041666666666665, 0.06510416666666666, 0.12369791666666666, 0.15494791666666669, 0.21484375000000003]",-0.575,-0.64375,-0.50625,0.20572916666666669,0.16562499999999997,0.2421875,-0.22360679774997896,0.9999999999999999,-0.734375,-0.8125,-0.65625,0.21223958333333337,0.17578125000000003,0.2447916666666667,0.75,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,f1,scalar,80,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.8901041666666667, 0.8697916666666666, 0.8802083333333334, 0.8802083333333334, 0.8692708333333333]","[0.09062611756775361, 0.13772687092999591, 0.1045571326821327, 0.11909833978997582, 0.13730915819610673]",-0.0125,-0.0458854166666665,0.016666666666666698,0.029895020046674454,0.01099645624323932,0.04931386149423834,-0.6668859288553503,0.39999999999999997,-0.02083333333333337,-0.0625,0.015625,0.046683040628353115,0.018432221894135938,0.07637567781610749,0.75,0.75,True,0.7668,False,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,f1,split,160,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.8953125000000001, 0.8979166666666667, 0.8979166666666667, 0.8932291666666666, 0.041666666666666664]","[0.11127949018574021, 0.17960069444444443, 0.28272362764550263, 0.3743045221560847, 0.45768539186507934]",-0.6847916666666668,-0.7249999999999999,-0.6445833333333333,0.3550062524281274,0.29874121834473394,0.4123469452278045,-0.6668859288553503,0.9999999999999999,-0.8536458333333334,-0.903125,-0.8020833333333335,0.34640590167933916,0.2951343936011905,0.3993194101543711,0.75,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,f1,split,40,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.8796875, 0.8979166666666667, 0.8979166666666667, 0.8186755952380953, 0.1730139652014652]","[0.04605105181277057, 0.08964879521520146, 0.09807322668650795, 0.14245285964035967, 0.17606440145502644]",-0.5970352564102563,-0.6497619047619047,-0.5505995306776557,0.12513230548386797,0.0930577803634444,0.15454758363742738,-0.6668859288553503,0.9999999999999999,-0.7066735347985348,-0.77847413003663,-0.6415657909798534,0.13001334964225586,0.09407300074780545,0.16246019767992423,0.75,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,f1,split,80,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[0.8901041666666667, 0.8901041666666667, 0.8848958333333333, 0.9057291666666667, 0.07291666666666666]","[0.035335902523402525, 0.09976438492063491, 0.17698361028439152, 0.21432911706349206, 0.28049665178571426]",-0.6475000000000001,-0.7020885416666667,-0.5925,0.24195449226699228,0.20965178889397634,0.27171955605158726,-0.35909242322980395,0.9999999999999999,-0.8171875000000001,-0.8828125,-0.7541536458333336,0.24516074926231174,0.21673634362599203,0.2714256818846662,0.75,1.0,True,1.0,True,0.95,5000
sender=meta-llama/llama-3.1-8b-instruct|reader=meta-llama/llama-3.1-8b-instruct|temperature=0|seed=none,Llama-3.1-8B writer / Llama-3.1-8B reader,relation_dossiers,far,judge_correct,scalar,80,5,16,"[0.0, 0.25, 0.5, 0.75, 1.0]","[""l0"", ""l0p333"", ""l1"", ""l3"", ""linf""]","[1.0, 0.984375, 0.984375, 0.984375, 0.984375]","[0.08984375000000001, 0.140625, 0.10807291666666667, 0.12369791666666666, 0.14583333333333334]",-0.0125,-0.0375,0.0,0.03802083333333332,0.017708333333333316,0.060416666666666674,-0.7071067811865475,0.7,-0.015625,-0.046875,0.0,0.05598958333333333,0.02604166666666667,0.08854166666666666,1.0,0.75,True,0.6342,False,0.95,5000
